송하인_격자공간고유번호,수하인_격자공간고유번호,물품_카테고리,repeat,cluster
5013000863096300,4311100012003100,27,5013000863096300_4311100012003100,0
5011000326012100,4128500032092300,27,5011000326012100_4128500032092300,0
5013000616057100,4281001185013300,27,5013000616057100_4281001185013300,0
5013000617099100,2820000042077200,27,5013000617099100_2820000042077200,0
5013000821028200,1168000013007400,27,5013000821028200_1168000013007400,0
4141000031030100,5011000594035200,54,4141000031030100_5011000594035200,2
5011000767075300,1154500001048400,80,5011000767075300_1154500001048400,0
5013000817046300,1126000015056200,27,5013000817046300_1126000015056200,0
5011000078068400,4119700009053300,27,5011000078068400_4119700009053300,0
5011000262035400,4139000087004100,17,5011000262035400_4139000087004100,0
5011000078068400,4146300029038400,27,5011000078068400_4146300029038400,0
1150000030012200,5013000785043300,27,1150000030012200_5013000785043300,1
4136000216029100,5011000219002100,36,4136000216029100_5011000219002100,2
5011000767094200,2644000133096300,61,5011000767094200_2644000133096300,0
5011000228054400,2818500008020100,11,5011000228054400_2818500008020100,0
4148000690015300,5011000314090100,34,4148000690015300_5011000314090100,2
5011000437099200,2824500028097300,27,5011000437099200_2824500028097300,0
4136000216029100,5011000264080400,44,4136000216029100_5011000264080400,2
5011000685067100,1135000017062100,27,5011000685067100_1135000017062100,0
4146100378048400,5011000319062400,57,4146100378048400_5011000319062400,2
5013000610049100,1129000005025200,27,5013000610049100_1129000005025200,0
4148000690015300,5011000373038200,34,4148000690015300_5011000373038200,2
5013000777063100,1130500013014200,27,5013000777063100_1130500013014200,0
5011000228093100,1114000001017400,27,5011000228093100_1114000001017400,0
5011000078068400,2635000039061400,27,5011000078068400_2635000039061400,0
5011001108080200,2723000090044300,11,5011001108080200_2723000090044300,0
5011000078068400,4684000253008100,27,5011000078068400_4684000253008100,0
5013000824069200,4159000606053100,27,5013000824069200_4159000606053100,0
4157000306018300,5011000721056300,14,4157000306018300_5011000721056300,2
4141000031030100,5011000316031300,93,4141000031030100_5011000316031300,2
1120000016014200,5013000862020200,56,1120000016014200_5013000862020200,1
5011000213090100,4311100053096300,27,5011000213090100_4311100053096300,0
5011000078068400,4117300013080100,27,5011000078068400_4117300013080100,0
5011000437099200,1171000017011300,27,5011000437099200_1171000017011300,0
5011000272063400,2917000060077400,66,5011000272063400_2917000060077400,0
5011001095042400,4219000121086300,17,5011001095042400_4219000121086300,0
4137000004003200,5013000894007200,33,4137000004003200_5013000894007200,2
5011000137030100,4427000312002200,27,5011000137030100_4427000312002200,0
4471000114055400,5011000259007300,97,4471000114055400_5011000259007300,2
4113500034035400,5011000314069300,47,4113500034035400_5011000314069300,2
4159000429094300,5011000266081300,44,4159000429094300_5011000266081300,2
5013000809098300,4111300011021400,27,5013000809098300_4111300011021400,0
5011001034043300,4812500013091300,27,5011001034043300_4812500013091300,0
4141000031030100,5011000314070200,29,4141000031030100_5011000314070200,2
4122000363057300,5011000377088400,5,4122000363057300_5011000377088400,2
5013000839009300,4159000342006400,27,5013000839009300_4159000342006400,0
5011000543041100,4139000088062400,19,5011000543041100_4139000088062400,0
5013000610049100,4721000408083100,27,5013000610049100_4721000408083100,0
5011000078068400,4615000599014400,27,5011000078068400_4615000599014400,0
5011000178007200,4146300039078200,27,5011000178007200_4146300039078200,0
5013000777063100,1168000008034200,27,5013000777063100_1168000008034200,0
5013000205030200,2823700015068100,27,5013000205030200_2823700015068100,0
5011001060063300,4127300027095200,27,5011001060063300_4127300027095200,0
5013000610049100,4121000009032400,27,5013000610049100_4121000009032400,0
4141000031009400,5011000174063300,3,4141000031009400_5011000174063300,2
4514000193039100,5013000674093300,27,4514000193039100_5013000674093300,2
5011000316024300,4514000400097200,51,5011000316024300_4514000400097200,0
5013000821028200,1171000014091400,27,5013000821028200_1171000014091400,0
4141000031009400,5013000866045300,3,4141000031009400_5013000866045300,2
5013000854017300,1147000011041300,27,5013000854017300_1147000011041300,0
5011000078068400,4812100207003400,27,5011000078068400_4812100207003400,0
5013000734079400,3114000017054100,80,5013000734079400_3114000017054100,0
5011000078068400,2614000004077200,27,5011000078068400_2614000004077200,0
4163000083095400,5011000218061100,17,4163000083095400_5011000218061100,2
1117000009037100,5011000264100200,15,1117000009037100_5011000264100200,1
4157000306018300,5011000367022200,44,4157000306018300_5011000367022200,2
5011000595017300,4812500020057400,67,5011000595017300_4812500020057400,0
5013000723077100,4122000298080300,27,5013000723077100_4122000298080300,0
4141000031030100,5011000266047300,35,4141000031030100_5011000266047300,2
5011000078068400,2920000092029100,27,5011000078068400_2920000092029100,0
4122000363057300,5013000782056100,36,4122000363057300_5013000782056100,2
5011000582021400,4831000231092200,80,5011000582021400_4831000231092200,0
5011000078068400,4831000254017200,27,5011000078068400_4831000254017200,0
5011000137023400,4115000044082300,3,5011000137023400_4115000044082300,0
5013000610049100,4157000210048200,27,5013000610049100_4157000210048200,0
5011000078068400,2814000003099200,27,5011000078068400_2814000003099200,0
5013000832003400,1156000018096200,27,5013000832003400_1156000018096200,0
5011000968068300,2723000037021300,27,5011000968068300_2723000037021300,0
5011000214049400,4418000265069400,27,5011000214049400_4418000265069400,0
2620000005018100,5013000770034100,25,2620000005018100_5013000770034100,3
5011000266051200,4148000585028400,27,5011000266051200_4148000585028400,0
5013000581065400,2771000336043400,27,5013000581065400_2771000336043400,0
5011000316024300,4313000639029100,51,5011000316024300_4313000639029100,0
5013000740006400,2826000067090400,27,5013000740006400_2826000067090400,0
5011000078068400,3020000163096200,27,5011000078068400_3020000163096200,0
4146100002027300,5011000320081200,26,4146100002027300_5011000320081200,2
5011000078068400,1150000038064100,27,5011000078068400_1150000038064100,0
5013000731055200,1129000009088400,27,5013000731055200_1129000009088400,0
5013000731055200,4163000105092300,27,5013000731055200_4163000105092300,0
5011000078068400,4159000342015400,27,5011000078068400_4159000342015400,0
4127300065073100,5011000373065300,6,4127300065073100_5011000373065300,2
5011000078068400,2817000021016300,27,5011000078068400_2817000021016300,0
5013000610049100,4119500001075200,27,5013000610049100_4119500001075200,0
4375000215040400,5011000373027300,25,4375000215040400_5011000373027300,2
4159000429094300,5011000092011400,3,4159000429094300_5011000092011400,2
5011001007011200,3017000027099100,27,5011001007011200_3017000027099100,0
5011000314031200,2826000142055100,25,5011000314031200_2826000142055100,0
5011000078068400,1171000002012100,27,5011000078068400_1171000002012100,0
5011000595017300,1168000013070100,67,5011000595017300_1168000013070100,0
5011000078068400,4113100020098300,27,5011000078068400_4113100020098300,0
5011000326012100,4783000287028300,27,5011000326012100_4783000287028300,0
2714000172001200,5011000214079400,45,2714000172001200_5011000214079400,3
3020000113067200,5013000809096300,11,3020000113067200_5013000809096300,3
4148000690015300,5011000319033200,34,4148000690015300_5011000319033200,2
5013000513092400,4278000581055100,27,5013000513092400_4278000581055100,0
5013000610049100,4141000003014200,27,5013000610049100_4141000003014200,0
5011000137030100,4113100025018200,27,5011000137030100_4113100025018200,0
4141000031030100,5011000314070200,36,4141000031030100_5011000314070200,2
5013000691060200,2914000020019300,27,5013000691060200_2914000020019300,0
5011000078068400,1121500011072400,27,5011000078068400_1121500011072400,0
5013000692034400,1168000013095400,27,5013000692034400_1168000013095400,0
5013000610049100,4511300074034300,27,5013000610049100_4511300074034300,0
1165000006069300,5013000467039100,33,1165000006069300_5013000467039100,1
5011000078068400,1153000006025100,27,5011000078068400_1153000006025100,0
4161000144040200,5011000313030100,5,4161000144040200_5011000313030100,2
3171000791037400,5011000035010300,17,3171000791037400_5011000035010300,3
4148000699072200,5013000635005300,67,4148000699072200_5013000635005300,2
5013000821028200,1147000011009400,27,5013000821028200_1147000011009400,0
5013000624091200,3011000084075100,27,5013000624091200_3011000084075100,0
5013000821028200,4122000314092300,27,5013000821028200_4122000314092300,0
2650000007007100,5011000112053100,17,2650000007007100_5011000112053100,3
5011000314059300,3611000373004300,66,5011000314059300_3611000373004300,0
1168000007002200,5011000373011400,46,1168000007002200_5011000373011400,1
5013000618013100,4111700020045400,11,5013000618013100_4111700020045400,0
2647000008065400,5013000732081200,17,2647000008065400_5013000732081200,3
1168000015064300,5011000266003200,21,1168000015064300_5011000266003200,1
1129000022055300,5013000635072300,93,1129000022055300_5013000635072300,1
5011000420060100,4159000303004200,27,5011000420060100_4159000303004200,0
5013000858034200,2818500027005400,27,5013000858034200_2818500027005400,0
4377000369095300,5011000373064400,57,4377000369095300_5011000373064400,2
5013000608075200,4127300008093100,27,5013000608075200_4127300008093100,0
5011000137030100,4146300010023200,27,5011000137030100_4146300010023200,0
4311100052060100,5011000319051100,30,4311100052060100_5011000319051100,2
1117000009079100,5011000315076100,31,1117000009079100_5011000315076100,1
5011000685067100,2635000059017200,27,5011000685067100_2635000059017200,0
5011000078068400,2729000021081400,27,5011000078068400_2729000021081400,0
4145000082015200,5011000423093100,51,4145000082015200_5011000423093100,2
5011000377088400,2920000165057200,80,5011000377088400_2920000165057200,0
5013000731055200,2826000031056200,27,5013000731055200_2826000031056200,0
4157000306018300,5011000672072300,77,4157000306018300_5011000672072300,2
5013000610049100,1123000006078100,27,5013000610049100_1123000006078100,0
5013000777063100,4514000358080400,27,5013000777063100_4514000358080400,0
5013000733025400,4822000217100300,27,5013000733025400_4822000217100300,0
5013000617099100,2824500032056200,27,5013000617099100_2824500032056200,0
5011000078068400,4150000154041100,27,5011000078068400_4150000154041100,0
4150000241045200,5011000314075300,5,4150000241045200_5011000314075300,2
5013000610049100,4139000018034400,27,5013000610049100_4139000018034400,0
5011000685067100,2824500006026300,27,5011000685067100_2824500006026300,0
5013000731055200,4671000224039400,27,5013000731055200_4671000224039400,0
4511300030055300,5013000014003100,25,4511300030055300_5013000014003100,2
5013000731055200,4139000110020100,27,5013000731055200_4139000110020100,0
4146100146003300,5011000319022200,33,4146100146003300_5011000319022200,2
5013000524039300,1150000030035300,27,5013000524039300_1150000030035300,0
5013000731055200,1138000021002200,27,5013000731055200_1138000021002200,0
5011000137030100,4127300025034200,27,5011000137030100_4127300025034200,0
4157000128031400,5011000258050200,80,4157000128031400_5011000258050200,2
5013000622057100,4480000134082100,27,5013000622057100_4480000134082100,0
2818500012018400,5011000168084200,17,2818500012018400_5011000168084200,3
5011000375010100,2632000004052400,27,5011000375010100_2632000004052400,0
5011000478099100,3023000064020300,27,5011000478099100_3023000064020300,0
4141000031030100,5011000485007200,42,4141000031030100_5011000485007200,2
5013000821028200,1135000012060300,27,5013000821028200_1135000012060300,0
5013000817046300,1150000024052400,27,5013000817046300_1150000024052400,0
5011000078068400,1129000023055100,27,5011000078068400_1129000023055100,0
5013000235040100,1123000004035400,27,5013000235040100_1123000004035400,0
5013000821028200,2917000038001400,27,5013000821028200_2917000038001400,0
4141000031030100,5011000313008400,85,4141000031030100_5011000313008400,2
5013000205048400,2729000040004300,27,5013000205048400_2729000040004300,0
5013000777063100,3017000033030100,27,5013000777063100_3017000033030100,0
5011000685067100,4719000594013100,27,5011000685067100_4719000594013100,0
5011000078068400,2823700002090400,27,5011000078068400_2823700002090400,0
5013000803023100,1120000001028400,27,5013000803023100_1120000001028400,0
5011000137030100,3011000053053100,27,5011000137030100_3011000053053100,0
5011000137030100,4825000412052100,27,5011000137030100_4825000412052100,0
5011000199044400,2818500033010100,27,5011000199044400_2818500033010100,0
5013000610049100,1159000011014400,27,5013000610049100_1159000011014400,0
5013000777063100,2911000010069200,27,5013000777063100_2911000010069200,0
5013000616057100,4137000039079200,27,5013000616057100_4137000039079200,0
4148000690015300,5011000316051200,34,4148000690015300_5011000316051200,2
5013000731055200,4148000672005300,27,5013000731055200_4148000672005300,0
5011000318079400,1171000023026200,27,5011000318079400_1171000023026200,0
5013000821028200,4719000435061100,27,5013000821028200_4719000435061100,0
5013000622057100,4163000159071100,27,5013000622057100_4163000159071100,0
5013000821028200,4825000421096100,27,5013000821028200_4825000421096100,0
5013000821028200,2826000142060300,27,5013000821028200_2826000142060300,0
5011000078068400,2826000026042200,27,5011000078068400_2826000026042200,0
4128500007025200,5011000556069300,84,4128500007025200_5011000556069300,2
5013000731055200,4163000138089300,27,5013000731055200_4163000138089300,0
5011000137030100,4159000179020300,27,5011000137030100_4159000179020300,0
5011000424078200,4514000381003300,27,5011000424078200_4514000381003300,0
4372000406047400,5011000157058300,27,4372000406047400_5011000157058300,2
5011000525070400,2820000055098300,27,5011000525070400_2820000055098300,0
5013000610049100,1144000018051300,27,5013000610049100_1144000018051300,0
4148000690015300,5011000263066100,34,4148000690015300_5011000263066100,2
5011000437099200,4371000159061300,27,5011000437099200_4371000159061300,0
5013000783057100,3011000060079300,27,5013000783057100_3011000060079300,0
5011000078068400,4479000071002200,27,5011000078068400_4479000071002200,0
4148000626030400,5011000319087400,3,4148000626030400_5011000319087400,2
5013000851012100,4415000483031400,19,5013000851012100_4415000483031400,0
5013000673010300,2653000003010100,27,5013000673010300_2653000003010100,0
5013000624091200,2817000009057300,27,5013000624091200_2817000009057300,0
5011000225012300,2818500014035100,66,5011000225012300_2818500014035100,0
5011000215098200,5011000266093200,25,5011000215098200_5011000266093200,0
5011001074083100,4514000398048100,27,5011001074083100_4514000398048100,0
5013000777063100,1141000008069400,27,5013000777063100_1141000008069400,0
5011000595017300,4161000163031100,67,5011000595017300_4161000163031100,0
5011000078068400,4146300009053300,27,5011000078068400_4146300009053300,0
5011000213090100,4519000332089200,3,5011000213090100_4519000332089200,0
5011000078068400,4159000383063400,27,5011000078068400_4159000383063400,0
5013000043054100,2914000014069400,27,5013000043054100_2914000014069400,0
4146100146003300,5011000319022400,33,4146100146003300_5011000319022400,2
5011000375010100,4128500048080200,66,5011000375010100_4128500048080200,0
5011000078068400,4157000290019200,27,5011000078068400_4157000290019200,0
5011000078068400,4128100111047200,27,5011000078068400_4128100111047200,0
4113500004083400,5011000264090300,71,4113500004083400_5011000264090300,2
4427000366060200,5011000544072300,5,4427000366060200_5011000544072300,2
5011000078068400,2818500045039100,27,5011000078068400_2818500045039100,0
4213000356075200,5011000266021300,25,4213000356075200_5011000266021300,2
5011000078068400,4513000190026200,27,5011000078068400_4513000190026200,0
5013000854017300,4117300024042100,27,5013000854017300_4117300024042100,0
4161000402022400,5011000318032100,44,4161000402022400_5011000318032100,2
4148000690015300,5013000626058400,34,4148000690015300_5013000626058400,2
5011000368010400,4725000719093400,27,5011000368010400_4725000719093400,0
5013000777063100,1150000024058100,27,5013000777063100_1150000024058100,0
5013000056001300,4713000426076400,27,5013000056001300_4713000426076400,0
4579000177091200,5011000173064200,80,4579000177091200_5011000173064200,2
5013000754028300,2826000087078100,27,5013000754028300_2826000087078100,0
5013000826031400,2771000111067100,27,5013000826031400_2771000111067100,0
5013000731055200,2817000021020100,27,5013000731055200_2817000021020100,0
5011000437099200,4482500367016400,27,5011000437099200_4482500367016400,0
5013000854086200,1156000008087100,27,5013000854086200_1156000008087100,0
5013000735079200,2717000016004300,27,5013000735079200_2717000016004300,0
5011000178097200,1121500015099300,27,5011000178097200_1121500015099300,0
4161000271049100,5013000828031200,71,4161000271049100_5013000828031200,2
5013000765096400,1171000030036400,27,5013000765096400_1171000030036400,0
5013000821028200,4421000446044100,27,5013000821028200_4421000446044100,0
5013000821078200,1130500015063200,27,5013000821078200_1130500015063200,0
5011000313069200,3611000164010200,80,5011000313069200_3611000164010200,0
5011000137030100,4514000456014400,27,5011000137030100_4514000456014400,0
5011000078068400,4825000341028100,27,5011000078068400_4825000341028100,0
5013000685046100,3014000024094400,27,5013000685046100_3014000024094400,0
5011000183026200,4511100012039100,27,5011000183026200_4511100012039100,0
5011000316024300,4514000335082200,51,5011000316024300_4514000335082200,0
5013000777063100,4148000336045400,27,5013000777063100_4148000336045400,0
5011000213090100,2644000142018100,27,5011000213090100_2644000142018100,0
5013000354052200,2726000025097200,27,5013000354052200_2726000025097200,0
5011001077072100,2817000002058100,27,5011001077072100_2817000002058100,0
5011000078068400,4888000549075400,27,5011000078068400_4888000549075400,0
5013000610049100,1171000021005400,27,5013000610049100_1171000021005400,0
4825000320060400,5011000312074200,51,4825000320060400_5011000312074200,0
5013000731055200,2726000025008300,27,5013000731055200_2726000025008300,0
5011000137030100,4311100058094300,27,5011000137030100_4311100058094300,0
5013000610049100,4143000010001400,27,5013000610049100_4143000010001400,0
5013000827049100,4115000027045100,27,5013000827049100_4115000027045100,0
5011000424078200,3171000621001400,27,5011000424078200_3171000621001400,0
5013000731055200,2632000020049400,27,5013000731055200_2632000020049400,0
5013000765096400,4713000362029100,27,5013000765096400_4713000362029100,0
5013000610049100,2647000010040200,27,5013000610049100_2647000010040200,0
5013000871062200,4113500018082400,27,5013000871062200_4113500018082400,0
4128500028049400,5011000305080400,66,4128500028049400_5011000305080400,2
5011000264026100,5011000376003100,59,5011000264026100_5011000376003100,0
5013000858004300,4121000014080400,27,5013000858004300_4121000014080400,0
5011000137030100,2714000077085300,27,5011000137030100_2714000077085300,0
5011000173096100,1174000010100300,27,5011000173096100_1174000010100300,0
5013000897086300,4315000173071100,27,5013000897086300_4315000173071100,0
1111000025015300,5011000328026100,41,1111000025015300_5011000328026100,1
5011000113015100,4413100147020200,27,5011000113015100_4413100147020200,0
5011000225030100,4825000421013400,27,5011000225030100_4825000421013400,0
4150000232082100,5013000823055100,90,4150000232082100_5013000823055100,2
5011000316024300,4511100045065400,51,5011000316024300_4511100045065400,0
5013000735004100,1129000012082100,27,5013000735004100_1129000012082100,0
5013000821028200,2823700015049100,27,5013000821028200_2823700015049100,0
4511300060053300,5013000529050300,10,4511300060053300_5013000529050300,2
4148000699072200,5011000435096200,67,4148000699072200_5011000435096200,2
5013000459099100,3023000021068400,27,5013000459099100_3023000021068400,0
5011000582021400,4719000587070400,80,5011000582021400_4719000587070400,0
5013000610049100,4413300185007100,27,5013000610049100_4413300185007100,0
5013000731055200,4146300044017400,27,5013000731055200_4146300044017400,0
5011000135053200,1150000041060100,27,5011000135053200_1150000041060100,0
5011000078068400,2820000051042400,27,5011000078068400_2820000051042400,0
4150000184029400,5011000265066300,5,4150000184029400_5011000265066300,2
3023000053033100,5013000823076300,44,3023000053033100_5013000823076300,3
4519000626011100,5013000823023100,5,4519000626011100_5013000823023100,2
5013000902094200,4831000262023300,27,5013000902094200_4831000262023300,0
5013000862067200,4111100032020300,27,5013000862067200_4111100032020300,0
5011000478099100,2647000007076400,27,5011000478099100_2647000007076400,0
4122000053068300,5011000319004300,41,4122000053068300_5011000319004300,2
5011000213090100,3017000027004400,27,5011000213090100_3017000027004400,0
1153000017005200,5011000264082200,70,1153000017005200_5011000264082200,1
5013000821028200,2638000047095400,27,5013000821028200_2638000047095400,0
5011000078068400,4128100103097300,27,5011000078068400_4128100103097300,0
5011000137030100,4413100174058400,27,5011000137030100_4413100174058400,0
5013000610049100,1135000013009400,27,5013000610049100_1135000013009400,0
5013000731055200,1168000028010400,27,5013000731055200_1168000028010400,0
5013000866088100,4211000645060400,27,5013000866088100_4211000645060400,0
5013000823067300,4514000399007100,17,5013000823067300_4514000399007100,0
5013000610049100,1162000002031200,27,5013000610049100_1162000002031200,0
4136000216029100,5013000871083200,36,4136000216029100_5013000871083200,2
4148000690015300,5011000313086400,34,4148000690015300_5011000313086400,2
5011001116066400,1111000020092300,27,5011001116066400_1111000020092300,0
5011000078068400,1141000012014400,27,5011000078068400_1141000012014400,0
4122000363057300,5013000933069300,3,4122000363057300_5013000933069300,2
5013000827100200,4113500062040400,27,5013000827100200_4113500062040400,0
5013000354052200,4111700025049200,27,5013000354052200_4111700025049200,0
5013000610049100,1156000010089400,27,5013000610049100_1156000010089400,0
1141000019068300,5011000543041100,34,1141000019068300_5011000543041100,1
5013000862067200,4577000123012300,27,5013000862067200_4577000123012300,0
5011000078068400,4121000004087200,27,5011000078068400_4121000004087200,0
5011000220067100,4571000613049300,27,5011000220067100_4571000613049300,0
5013000685046100,3011000052028400,27,5013000685046100_3011000052028400,0
5013000765096400,1121500013077300,27,5013000765096400_1121500013077300,0
5013000691060200,4812700062015200,27,5013000691060200_4812700062015200,0
3023000012008100,5011000113071400,66,3023000012008100_5011000113071400,3
5013000731055200,4615000535054300,27,5013000731055200_4615000535054300,0
4148000690043300,5011000264045100,34,4148000690043300_5011000264045100,2
1117000009058400,5011000378017100,15,1117000009058400_5011000378017100,1
5013000308099400,4159000207077200,27,5013000308099400_4159000207077200,0
4217000002083400,5011000264063400,66,4217000002083400_5011000264063400,2
2717000009070200,5011000215023100,10,2717000009070200_5011000215023100,3
5011000312034400,4572000555073300,27,5011000312034400_4572000555073300,0
5013000812070200,4831000582046300,27,5013000812070200_4831000582046300,0
5011000315016300,4511100031059300,66,5011000315016300_4511100031059300,0
5013000731055200,2714000163036300,27,5013000731055200_2714000163036300,0
5011000078068400,1153000012078100,27,5011000078068400_1153000012078100,0
5011000578016400,4889000527094200,27,5011000578016400_4889000527094200,0
4148000690015300,5011000173041200,34,4148000690015300_5011000173041200,2
5013000845056400,4136000108061200,27,5013000845056400_4136000108061200,0
5013000777063100,4421000447052300,27,5013000777063100_4421000447052300,0
5013000610049100,1121500008094400,27,5013000610049100_1121500008094400,0
5011000078068400,4511100046013200,27,5011000078068400_4511100046013200,0
4155000526085200,5011000247030200,17,4155000526085200_5011000247030200,2
2711000007067300,5011000264025100,30,2711000007067300_5011000264025100,3
4113300018010300,5011000317043300,15,4113300018010300_5011000317043300,2
5011000078068400,4782000374039200,27,5011000078068400_4782000374039200,0
5011001086004300,4127100018025200,27,5011001086004300_4127100018025200,0
5013000043028400,4113300010077400,27,5013000043028400_4113300010077400,0
1129000014045300,5011000372001300,41,1129000014045300_5011000372001300,1
5011000213090100,1123000012004300,3,5011000213090100_1123000012004300,0
5013000823060100,4420000284094300,27,5013000823060100_4420000284094300,0
5011000078068400,4719000420025300,27,5011000078068400_4719000420025300,0
4148000489065400,5011000779044300,34,4148000489065400_5011000779044300,2
5013000870018300,2817000019075200,27,5013000870018300_2817000019075200,0
5011001060063300,4165000625092100,27,5011001060063300_4165000625092100,0
5011000316024300,2917000057083400,17,5011000316024300_2917000057083400,0
5011000078068400,4155000404008400,27,5011000078068400_4155000404008400,0
5011000137030100,1141000008069400,27,5011000137030100_1141000008069400,0
