송하인_격자공간고유번호,수하인_격자공간고유번호,물품_카테고리,송하인_광역시_시군구,송하인_읍면동_리,송하인_기타,수하인_광역시_시군구,수하인_읍면동_리,수하인_기타,카테고리_mean,카테고리_min,카테고리_max
1150000030012200,5013000785043300,27,11500,00030,012200,50130,00785,043300,4.322080606269377,3,179
4136000216029100,5011000219002100,36,41360,00216,029100,50110,00219,002100,4.406349206349207,3,23
5011000767094200,2644000133096300,61,50110,00767,094200,26440,00133,096300,5.232558139534884,3,11
5011000228054400,2818500008020100,11,50110,00228,054400,28185,00008,020100,5.83125,3,70
4148000690015300,5011000314090100,34,41480,00690,015300,50110,00314,090100,4.976168652612282,3,118
5011000437099200,2824500028097300,27,50110,00437,099200,28245,00028,097300,4.322080606269377,3,179
4136000216029100,5011000264080400,44,41360,00216,029100,50110,00264,080400,5.028301886792453,3,27
5011000685067100,1135000017062100,27,50110,00685,067100,11350,00017,062100,4.322080606269377,3,179
4146100378048400,5011000319062400,57,41461,00378,048400,50110,00319,062400,3.529032258064516,3,10
5013000610049100,1129000005025200,27,50130,00610,049100,11290,00005,025200,4.322080606269377,3,179
4148000690015300,5011000373038200,34,41480,00690,015300,50110,00373,038200,4.976168652612282,3,118
5013000777063100,1130500013014200,27,50130,00777,063100,11305,00013,014200,4.322080606269377,3,179
5011000228093100,1114000001017400,27,50110,00228,093100,11140,00001,017400,4.322080606269377,3,179
5011000078068400,2635000039061400,27,50110,00078,068400,26350,00039,061400,4.322080606269377,3,179
5011001108080200,2723000090044300,11,50110,01108,080200,27230,00090,044300,5.83125,3,70
5011000078068400,4684000253008100,27,50110,00078,068400,46840,00253,008100,4.322080606269377,3,179
5013000824069200,4159000606053100,27,50130,00824,069200,41590,00606,053100,4.322080606269377,3,179
4157000306018300,5011000721056300,14,41570,00306,018300,50110,00721,056300,5.469230769230769,3,120
4141000031030100,5011000316031300,93,41410,00031,030100,50110,00316,031300,3.3066666666666666,3,6
1120000016014200,5013000862020200,56,11200,00016,014200,50130,00862,020200,9.1,3,197
5011000213090100,4311100053096300,27,50110,00213,090100,43111,00053,096300,4.322080606269377,3,179
5011000078068400,4117300013080100,27,50110,00078,068400,41173,00013,080100,4.322080606269377,3,179
5011000437099200,1171000017011300,27,50110,00437,099200,11710,00017,011300,4.322080606269377,3,179
5011000272063400,2917000060077400,66,50110,00272,063400,29170,00060,077400,5.696324951644101,3,105
5011001095042400,4219000121086300,17,50110,01095,042400,42190,00121,086300,6.088825214899713,3,108
4137000004003200,5013000894007200,33,41370,00004,003200,50130,00894,007200,7.664670658682635,3,84
5011000137030100,4427000312002200,27,50110,00137,030100,44270,00312,002200,4.322080606269377,3,179
4471000114055400,5011000259007300,97,44710,00114,055400,50110,00259,007300,5.217391304347826,3,27
4113500034035400,5011000314069300,47,41135,00034,035400,50110,00314,069300,24.0,3,38
4159000429094300,5011000266081300,44,41590,00429,094300,50110,00266,081300,5.028301886792453,3,27
5013000809098300,4111300011021400,27,50130,00809,098300,41113,00011,021400,4.322080606269377,3,179
5011001034043300,4812500013091300,27,50110,01034,043300,48125,00013,091300,4.322080606269377,3,179
4141000031030100,5011000314070200,29,41410,00031,030100,50110,00314,070200,6.728260869565218,3,62
4122000363057300,5011000377088400,5,41220,00363,057300,50110,00377,088400,5.774957698815567,3,93
5013000839009300,4159000342006400,27,50130,00839,009300,41590,00342,006400,4.322080606269377,3,179
5011000543041100,4139000088062400,19,50110,00543,041100,41390,00088,062400,12.889830508474576,3,413
5013000610049100,4721000408083100,27,50130,00610,049100,47210,00408,083100,4.322080606269377,3,179
5011000078068400,4615000599014400,27,50110,00078,068400,46150,00599,014400,4.322080606269377,3,179
5011000178007200,4146300039078200,27,50110,00178,007200,41463,00039,078200,4.322080606269377,3,179
5013000777063100,1168000008034200,27,50130,00777,063100,11680,00008,034200,4.322080606269377,3,179
5013000205030200,2823700015068100,27,50130,00205,030200,28237,00015,068100,4.322080606269377,3,179
5011001060063300,4127300027095200,27,50110,01060,063300,41273,00027,095200,4.322080606269377,3,179
5013000610049100,4121000009032400,27,50130,00610,049100,41210,00009,032400,4.322080606269377,3,179
4141000031009400,5011000174063300,3,41410,00031,009400,50110,00174,063300,6.815602836879433,3,122
4514000193039100,5013000674093300,27,45140,00193,039100,50130,00674,093300,4.322080606269377,3,179
5011000316024300,4514000400097200,51,50110,00316,024300,45140,00400,097200,5.674418604651163,3,68
5013000821028200,1171000014091400,27,50130,00821,028200,11710,00014,091400,4.322080606269377,3,179
4141000031009400,5013000866045300,3,41410,00031,009400,50130,00866,045300,6.815602836879433,3,122
5013000854017300,1147000011041300,27,50130,00854,017300,11470,00011,041300,4.322080606269377,3,179
5011000078068400,4812100207003400,27,50110,00078,068400,48121,00207,003400,4.322080606269377,3,179
5013000734079400,3114000017054100,80,50130,00734,079400,31140,00017,054100,8.838120104438643,3,150
5011000078068400,2614000004077200,27,50110,00078,068400,26140,00004,077200,4.322080606269377,3,179
4163000083095400,5011000218061100,17,41630,00083,095400,50110,00218,061100,6.088825214899713,3,108
1117000009037100,5011000264100200,15,11170,00009,037100,50110,00264,100200,6.840909090909091,3,103
4157000306018300,5011000367022200,44,41570,00306,018300,50110,00367,022200,5.028301886792453,3,27
5011000595017300,4812500020057400,67,50110,00595,017300,48125,00020,057400,4.092013888888889,3,48
5013000723077100,4122000298080300,27,50130,00723,077100,41220,00298,080300,4.322080606269377,3,179
4141000031030100,5011000266047300,35,41410,00031,030100,50110,00266,047300,4.785714285714286,3,16
5011000078068400,2920000092029100,27,50110,00078,068400,29200,00092,029100,4.322080606269377,3,179
4122000363057300,5013000782056100,36,41220,00363,057300,50130,00782,056100,4.406349206349207,3,23
5011000582021400,4831000231092200,80,50110,00582,021400,48310,00231,092200,8.838120104438643,3,150
5011000078068400,4831000254017200,27,50110,00078,068400,48310,00254,017200,4.322080606269377,3,179
5011000137023400,4115000044082300,3,50110,00137,023400,41150,00044,082300,6.815602836879433,3,122
5013000610049100,4157000210048200,27,50130,00610,049100,41570,00210,048200,4.322080606269377,3,179
5011000078068400,2814000003099200,27,50110,00078,068400,28140,00003,099200,4.322080606269377,3,179
5013000832003400,1156000018096200,27,50130,00832,003400,11560,00018,096200,4.322080606269377,3,179
5011000968068300,2723000037021300,27,50110,00968,068300,27230,00037,021300,4.322080606269377,3,179
5011000214049400,4418000265069400,27,50110,00214,049400,44180,00265,069400,4.322080606269377,3,179
2620000005018100,5013000770034100,25,26200,00005,018100,50130,00770,034100,4.765333333333333,3,41
5011000266051200,4148000585028400,27,50110,00266,051200,41480,00585,028400,4.322080606269377,3,179
5013000581065400,2771000336043400,27,50130,00581,065400,27710,00336,043400,4.322080606269377,3,179
5011000316024300,4313000639029100,51,50110,00316,024300,43130,00639,029100,5.674418604651163,3,68
5013000740006400,2826000067090400,27,50130,00740,006400,28260,00067,090400,4.322080606269377,3,179
5011000078068400,3020000163096200,27,50110,00078,068400,30200,00163,096200,4.322080606269377,3,179
4146100002027300,5011000320081200,26,41461,00002,027300,50110,00320,081200,4.0588235294117645,3,14
5011000078068400,1150000038064100,27,50110,00078,068400,11500,00038,064100,4.322080606269377,3,179
5013000731055200,1129000009088400,27,50130,00731,055200,11290,00009,088400,4.322080606269377,3,179
5013000731055200,4163000105092300,27,50130,00731,055200,41630,00105,092300,4.322080606269377,3,179
5011000078068400,4159000342015400,27,50110,00078,068400,41590,00342,015400,4.322080606269377,3,179
4127300065073100,5011000373065300,6,41273,00065,073100,50110,00373,065300,9.592592592592593,3,130
5011000078068400,2817000021016300,27,50110,00078,068400,28170,00021,016300,4.322080606269377,3,179
5013000610049100,4119500001075200,27,50130,00610,049100,41195,00001,075200,4.322080606269377,3,179
4375000215040400,5011000373027300,25,43750,00215,040400,50110,00373,027300,4.765333333333333,3,41
4159000429094300,5011000092011400,3,41590,00429,094300,50110,00092,011400,6.815602836879433,3,122
5011001007011200,3017000027099100,27,50110,01007,011200,30170,00027,099100,4.322080606269377,3,179
5011000314031200,2826000142055100,25,50110,00314,031200,28260,00142,055100,4.765333333333333,3,41
5011000078068400,1171000002012100,27,50110,00078,068400,11710,00002,012100,4.322080606269377,3,179
5011000595017300,1168000013070100,67,50110,00595,017300,11680,00013,070100,4.092013888888889,3,48
5011000078068400,4113100020098300,27,50110,00078,068400,41131,00020,098300,4.322080606269377,3,179
5011000326012100,4783000287028300,27,50110,00326,012100,47830,00287,028300,4.322080606269377,3,179
2714000172001200,5011000214079400,45,27140,00172,001200,50110,00214,079400,6.529411764705882,3,42
3020000113067200,5013000809096300,11,30200,00113,067200,50130,00809,096300,5.83125,3,70
4148000690015300,5011000319033200,34,41480,00690,015300,50110,00319,033200,4.976168652612282,3,118
5013000513092400,4278000581055100,27,50130,00513,092400,42780,00581,055100,4.322080606269377,3,179
5013000610049100,4141000003014200,27,50130,00610,049100,41410,00003,014200,4.322080606269377,3,179
5011000137030100,4113100025018200,27,50110,00137,030100,41131,00025,018200,4.322080606269377,3,179
4141000031030100,5011000314070200,36,41410,00031,030100,50110,00314,070200,4.406349206349207,3,23
5013000691060200,2914000020019300,27,50130,00691,060200,29140,00020,019300,4.322080606269377,3,179
5011000078068400,1121500011072400,27,50110,00078,068400,11215,00011,072400,4.322080606269377,3,179
5013000692034400,1168000013095400,27,50130,00692,034400,11680,00013,095400,4.322080606269377,3,179
5013000610049100,4511300074034300,27,50130,00610,049100,45113,00074,034300,4.322080606269377,3,179
1165000006069300,5013000467039100,33,11650,00006,069300,50130,00467,039100,7.664670658682635,3,84
5011000078068400,1153000006025100,27,50110,00078,068400,11530,00006,025100,4.322080606269377,3,179
4161000144040200,5011000313030100,5,41610,00144,040200,50110,00313,030100,5.774957698815567,3,93
3171000791037400,5011000035010300,17,31710,00791,037400,50110,00035,010300,6.088825214899713,3,108
4148000699072200,5013000635005300,67,41480,00699,072200,50130,00635,005300,4.092013888888889,3,48
5013000821028200,1147000011009400,27,50130,00821,028200,11470,00011,009400,4.322080606269377,3,179
5013000624091200,3011000084075100,27,50130,00624,091200,30110,00084,075100,4.322080606269377,3,179
5013000821028200,4122000314092300,27,50130,00821,028200,41220,00314,092300,4.322080606269377,3,179
2650000007007100,5011000112053100,17,26500,00007,007100,50110,00112,053100,6.088825214899713,3,108
5011000314059300,3611000373004300,66,50110,00314,059300,36110,00373,004300,5.696324951644101,3,105
1168000007002200,5011000373011400,46,11680,00007,002200,50110,00373,011400,5.4,3,14
5013000618013100,4111700020045400,11,50130,00618,013100,41117,00020,045400,5.83125,3,70
2647000008065400,5013000732081200,17,26470,00008,065400,50130,00732,081200,6.088825214899713,3,108
1168000015064300,5011000266003200,21,11680,00015,064300,50110,00266,003200,10.892156862745098,3,134
1129000022055300,5013000635072300,93,11290,00022,055300,50130,00635,072300,3.3066666666666666,3,6
5011000420060100,4159000303004200,27,50110,00420,060100,41590,00303,004200,4.322080606269377,3,179
5013000858034200,2818500027005400,27,50130,00858,034200,28185,00027,005400,4.322080606269377,3,179
4377000369095300,5011000373064400,57,43770,00369,095300,50110,00373,064400,3.529032258064516,3,10
5013000608075200,4127300008093100,27,50130,00608,075200,41273,00008,093100,4.322080606269377,3,179
5011000137030100,4146300010023200,27,50110,00137,030100,41463,00010,023200,4.322080606269377,3,179
4311100052060100,5011000319051100,30,43111,00052,060100,50110,00319,051100,4.15,3,10
1117000009079100,5011000315076100,31,11170,00009,079100,50110,00315,076100,3.5555555555555554,3,5
5011000685067100,2635000059017200,27,50110,00685,067100,26350,00059,017200,4.322080606269377,3,179
5011000078068400,2729000021081400,27,50110,00078,068400,27290,00021,081400,4.322080606269377,3,179
4145000082015200,5011000423093100,51,41450,00082,015200,50110,00423,093100,5.674418604651163,3,68
5011000377088400,2920000165057200,80,50110,00377,088400,29200,00165,057200,8.838120104438643,3,150
5013000731055200,2826000031056200,27,50130,00731,055200,28260,00031,056200,4.322080606269377,3,179
4157000306018300,5011000672072300,77,41570,00306,018300,50110,00672,072300,5.92,3,123
5013000610049100,1123000006078100,27,50130,00610,049100,11230,00006,078100,4.322080606269377,3,179
5013000777063100,4514000358080400,27,50130,00777,063100,45140,00358,080400,4.322080606269377,3,179
5013000733025400,4822000217100300,27,50130,00733,025400,48220,00217,100300,4.322080606269377,3,179
5013000617099100,2824500032056200,27,50130,00617,099100,28245,00032,056200,4.322080606269377,3,179
5011000078068400,4150000154041100,27,50110,00078,068400,41500,00154,041100,4.322080606269377,3,179
4150000241045200,5011000314075300,5,41500,00241,045200,50110,00314,075300,5.774957698815567,3,93
5013000610049100,4139000018034400,27,50130,00610,049100,41390,00018,034400,4.322080606269377,3,179
5011000685067100,2824500006026300,27,50110,00685,067100,28245,00006,026300,4.322080606269377,3,179
5013000731055200,4671000224039400,27,50130,00731,055200,46710,00224,039400,4.322080606269377,3,179
4511300030055300,5013000014003100,25,45113,00030,055300,50130,00014,003100,4.765333333333333,3,41
5013000731055200,4139000110020100,27,50130,00731,055200,41390,00110,020100,4.322080606269377,3,179
4146100146003300,5011000319022200,33,41461,00146,003300,50110,00319,022200,7.664670658682635,3,84
5013000524039300,1150000030035300,27,50130,00524,039300,11500,00030,035300,4.322080606269377,3,179
5013000731055200,1138000021002200,27,50130,00731,055200,11380,00021,002200,4.322080606269377,3,179
5011000137030100,4127300025034200,27,50110,00137,030100,41273,00025,034200,4.322080606269377,3,179
4157000128031400,5011000258050200,80,41570,00128,031400,50110,00258,050200,8.838120104438643,3,150
5013000622057100,4480000134082100,27,50130,00622,057100,44800,00134,082100,4.322080606269377,3,179
2818500012018400,5011000168084200,17,28185,00012,018400,50110,00168,084200,6.088825214899713,3,108
5011000375010100,2632000004052400,27,50110,00375,010100,26320,00004,052400,4.322080606269377,3,179
5011000478099100,3023000064020300,27,50110,00478,099100,30230,00064,020300,4.322080606269377,3,179
4141000031030100,5011000485007200,42,41410,00031,030100,50110,00485,007200,3.888888888888889,3,13
5013000821028200,1135000012060300,27,50130,00821,028200,11350,00012,060300,4.322080606269377,3,179
5013000817046300,1150000024052400,27,50130,00817,046300,11500,00024,052400,4.322080606269377,3,179
5011000078068400,1129000023055100,27,50110,00078,068400,11290,00023,055100,4.322080606269377,3,179
5013000235040100,1123000004035400,27,50130,00235,040100,11230,00004,035400,4.322080606269377,3,179
5013000821028200,2917000038001400,27,50130,00821,028200,29170,00038,001400,4.322080606269377,3,179
4141000031030100,5011000313008400,85,41410,00031,030100,50110,00313,008400,6.0,3,27
5013000205048400,2729000040004300,27,50130,00205,048400,27290,00040,004300,4.322080606269377,3,179
5013000777063100,3017000033030100,27,50130,00777,063100,30170,00033,030100,4.322080606269377,3,179
5011000685067100,4719000594013100,27,50110,00685,067100,47190,00594,013100,4.322080606269377,3,179
5011000078068400,2823700002090400,27,50110,00078,068400,28237,00002,090400,4.322080606269377,3,179
5013000803023100,1120000001028400,27,50130,00803,023100,11200,00001,028400,4.322080606269377,3,179
5011000137030100,3011000053053100,27,50110,00137,030100,30110,00053,053100,4.322080606269377,3,179
5011000137030100,4825000412052100,27,50110,00137,030100,48250,00412,052100,4.322080606269377,3,179
5011000199044400,2818500033010100,27,50110,00199,044400,28185,00033,010100,4.322080606269377,3,179
5013000610049100,1159000011014400,27,50130,00610,049100,11590,00011,014400,4.322080606269377,3,179
5013000777063100,2911000010069200,27,50130,00777,063100,29110,00010,069200,4.322080606269377,3,179
5013000616057100,4137000039079200,27,50130,00616,057100,41370,00039,079200,4.322080606269377,3,179
4148000690015300,5011000316051200,34,41480,00690,015300,50110,00316,051200,4.976168652612282,3,118
5013000731055200,4148000672005300,27,50130,00731,055200,41480,00672,005300,4.322080606269377,3,179
5011000318079400,1171000023026200,27,50110,00318,079400,11710,00023,026200,4.322080606269377,3,179
5013000821028200,4719000435061100,27,50130,00821,028200,47190,00435,061100,4.322080606269377,3,179
5013000622057100,4163000159071100,27,50130,00622,057100,41630,00159,071100,4.322080606269377,3,179
5013000821028200,4825000421096100,27,50130,00821,028200,48250,00421,096100,4.322080606269377,3,179
5013000821028200,2826000142060300,27,50130,00821,028200,28260,00142,060300,4.322080606269377,3,179
5011000078068400,2826000026042200,27,50110,00078,068400,28260,00026,042200,4.322080606269377,3,179
4128500007025200,5011000556069300,84,41285,00007,025200,50110,00556,069300,4.241379310344827,3,16
5013000731055200,4163000138089300,27,50130,00731,055200,41630,00138,089300,4.322080606269377,3,179
5011000137030100,4159000179020300,27,50110,00137,030100,41590,00179,020300,4.322080606269377,3,179
5011000424078200,4514000381003300,27,50110,00424,078200,45140,00381,003300,4.322080606269377,3,179
4372000406047400,5011000157058300,27,43720,00406,047400,50110,00157,058300,4.322080606269377,3,179
5011000525070400,2820000055098300,27,50110,00525,070400,28200,00055,098300,4.322080606269377,3,179
5013000610049100,1144000018051300,27,50130,00610,049100,11440,00018,051300,4.322080606269377,3,179
4148000690015300,5011000263066100,34,41480,00690,015300,50110,00263,066100,4.976168652612282,3,118
5011000437099200,4371000159061300,27,50110,00437,099200,43710,00159,061300,4.322080606269377,3,179
5013000783057100,3011000060079300,27,50130,00783,057100,30110,00060,079300,4.322080606269377,3,179
5011000078068400,4479000071002200,27,50110,00078,068400,44790,00071,002200,4.322080606269377,3,179
4148000626030400,5011000319087400,3,41480,00626,030400,50110,00319,087400,6.815602836879433,3,122
5013000851012100,4415000483031400,19,50130,00851,012100,44150,00483,031400,12.889830508474576,3,413
5013000673010300,2653000003010100,27,50130,00673,010300,26530,00003,010100,4.322080606269377,3,179
5013000624091200,2817000009057300,27,50130,00624,091200,28170,00009,057300,4.322080606269377,3,179
5011000225012300,2818500014035100,66,50110,00225,012300,28185,00014,035100,5.696324951644101,3,105
5011000215098200,5011000266093200,25,50110,00215,098200,50110,00266,093200,4.765333333333333,3,41
5011001074083100,4514000398048100,27,50110,01074,083100,45140,00398,048100,4.322080606269377,3,179
5013000777063100,1141000008069400,27,50130,00777,063100,11410,00008,069400,4.322080606269377,3,179
5011000595017300,4161000163031100,67,50110,00595,017300,41610,00163,031100,4.092013888888889,3,48
5011000078068400,4146300009053300,27,50110,00078,068400,41463,00009,053300,4.322080606269377,3,179
5011000213090100,4519000332089200,3,50110,00213,090100,45190,00332,089200,6.815602836879433,3,122
5011000078068400,4159000383063400,27,50110,00078,068400,41590,00383,063400,4.322080606269377,3,179
5013000043054100,2914000014069400,27,50130,00043,054100,29140,00014,069400,4.322080606269377,3,179
4146100146003300,5011000319022400,33,41461,00146,003300,50110,00319,022400,7.664670658682635,3,84
5011000375010100,4128500048080200,66,50110,00375,010100,41285,00048,080200,5.696324951644101,3,105
