송하인_격자공간고유번호,수하인_격자공간고유번호,물품_카테고리,송하인_광역시,송하인_시군구,송하인_읍면동,송하인_리,송하인_기타,수하인_광역시,수하인_시군구,수하인_읍면동,수하인_리,수하인_기타
5011000078068400,4127100055011300,27,50,110,000,78,068400,41,271,000,55,011300
5013000740006400,1147000004017400,27,50,130,007,40,006400,11,470,000,04,017400
5011000213090100,3611000092003200,27,50,110,002,13,090100,36,110,000,92,003200
4682000971004300,5011000533051300,54,46,820,009,71,004300,50,110,005,33,051300
5011000078068400,4128700035009100,27,50,110,000,78,068400,41,287,000,35,009100
5011000313069200,4371000372100400,80,50,110,003,13,069200,43,710,003,72,100400
5011000199044400,4213000256060100,27,50,110,001,99,044400,42,130,002,56,060100
5013000785045400,4213000279091100,27,50,130,007,85,045400,42,130,002,79,091100
5013000610049100,4113500010006300,27,50,130,006,10,049100,41,135,000,10,006300
5011000685067100,1150000030066300,27,50,110,006,85,067100,11,500,000,30,066300
5013000731055200,3014000012022100,27,50,130,007,31,055200,30,140,000,12,022100
4128500008095200,5011000263070200,3,41,285,000,08,095200,50,110,002,63,070200
5013000622057100,2635000059017200,27,50,130,006,22,057100,26,350,000,59,017200
5011000078068400,4812100196083300,27,50,110,000,78,068400,48,121,001,96,083300
5013000610049100,1150000016085200,27,50,130,006,10,049100,11,500,000,16,085200
5011000228004400,4159000599080400,5,50,110,002,28,004400,41,590,005,99,080400
2614000009036100,5011000431021100,27,26,140,000,09,036100,50,110,004,31,021100
3023000012008100,5011000169084300,5,30,230,000,12,008100,50,110,001,69,084300
5011000078068400,4111100020085400,27,50,110,000,78,068400,41,111,000,20,085400
5011001027036200,4521000303066100,27,50,110,010,27,036200,45,210,003,03,066100
5011001086004300,4139000118082300,27,50,110,010,86,004300,41,390,001,18,082300
5011000422097100,4822000241031400,27,50,110,004,22,097100,48,220,002,41,031400
4159000685057100,5011000215099200,97,41,590,006,85,057100,50,110,002,15,099200
4682000830009400,5013000862058100,27,46,820,008,30,009400,50,130,008,62,058100
2826000085023400,5011000317002400,5,28,260,000,85,023400,50,110,003,17,002400
5011000316024300,4514000396098400,51,50,110,003,16,024300,45,140,003,96,098400
5013000610049100,2820000035083300,27,50,130,006,10,049100,28,200,000,35,083300
5011000078068400,2823700010077300,27,50,110,000,78,068400,28,237,000,10,077300
5011000078068400,4221000014058400,27,50,110,000,78,068400,42,210,000,14,058400
4146300005091100,5011000320036300,14,41,463,000,05,091100,50,110,003,20,036300
4371000161085100,5011000373016400,69,43,710,001,61,085100,50,110,003,73,016400
5013000273039200,4681000232002300,27,50,130,002,73,039200,46,810,002,32,002300
3011000053088100,5011000314088200,15,30,110,000,53,088100,50,110,003,14,088200
5011000433043400,4127300065073100,41,50,110,004,33,043400,41,273,000,65,073100
4141000031030100,5011000370022100,6,41,410,000,31,030100,50,110,003,70,022100
5013000610049100,4136000282045400,27,50,130,006,10,049100,41,360,002,82,045400
5011000437099200,4311300074017300,27,50,110,004,37,099200,43,113,000,74,017300
4137000019060200,5011000173040100,35,41,370,000,19,060200,50,110,001,73,040100
5011000078068400,2917000094062400,27,50,110,000,78,068400,29,170,000,94,062400
4377000254047200,5013000396069300,16,43,770,002,54,047200,50,130,003,96,069300
5011000169080300,2635000046018100,66,50,110,001,69,080300,26,350,000,46,018100
5011000078068400,2729000019047100,27,50,110,000,78,068400,27,290,000,19,047100
5011000078068400,4511100059042100,27,50,110,000,78,068400,45,111,000,59,042100
4146100403068100,5011000219010300,41,41,461,004,03,068100,50,110,002,19,010300
5013000777063100,4145000006041300,27,50,130,007,77,063100,41,450,000,06,041300
5013000571005200,1135000016094200,27,50,130,005,71,005200,11,350,000,16,094200
5013000616057100,2771000078032200,27,50,130,006,16,057100,27,710,000,78,032200
4148000427007400,5011000429017300,81,41,480,004,27,007400,50,110,004,29,017300
5011000168079400,4613000265096400,51,50,110,001,68,079400,46,130,002,65,096400
5013000785045400,4183000779095200,27,50,130,007,85,045400,41,830,007,79,095200
5013000610049100,2811000052092400,27,50,130,006,10,049100,28,110,000,52,092400
5011000436041400,1168000025047300,27,50,110,004,36,041400,11,680,000,25,047300
5013000610049100,2626000004098300,27,50,130,006,10,049100,26,260,000,04,098300
5013000863096300,4311100012003100,27,50,130,008,63,096300,43,111,000,12,003100
5011000326012100,4128500032092300,27,50,110,003,26,012100,41,285,000,32,092300
5013000616057100,4281001185013300,27,50,130,006,16,057100,42,810,011,85,013300
5013000617099100,2820000042077200,27,50,130,006,17,099100,28,200,000,42,077200
5013000821028200,1168000013007400,27,50,130,008,21,028200,11,680,000,13,007400
4141000031030100,5011000594035200,54,41,410,000,31,030100,50,110,005,94,035200
5011000767075300,1154500001048400,80,50,110,007,67,075300,11,545,000,01,048400
5013000817046300,1126000015056200,27,50,130,008,17,046300,11,260,000,15,056200
5011000078068400,4119700009053300,27,50,110,000,78,068400,41,197,000,09,053300
5011000262035400,4139000087004100,17,50,110,002,62,035400,41,390,000,87,004100
5011000078068400,4146300029038400,27,50,110,000,78,068400,41,463,000,29,038400
1150000030012200,5013000785043300,27,11,500,000,30,012200,50,130,007,85,043300
4136000216029100,5011000219002100,36,41,360,002,16,029100,50,110,002,19,002100
5011000767094200,2644000133096300,61,50,110,007,67,094200,26,440,001,33,096300
5011000228054400,2818500008020100,11,50,110,002,28,054400,28,185,000,08,020100
4148000690015300,5011000314090100,34,41,480,006,90,015300,50,110,003,14,090100
5011000437099200,2824500028097300,27,50,110,004,37,099200,28,245,000,28,097300
4136000216029100,5011000264080400,44,41,360,002,16,029100,50,110,002,64,080400
5011000685067100,1135000017062100,27,50,110,006,85,067100,11,350,000,17,062100
4146100378048400,5011000319062400,57,41,461,003,78,048400,50,110,003,19,062400
5013000610049100,1129000005025200,27,50,130,006,10,049100,11,290,000,05,025200
4148000690015300,5011000373038200,34,41,480,006,90,015300,50,110,003,73,038200
5013000777063100,1130500013014200,27,50,130,007,77,063100,11,305,000,13,014200
5011000228093100,1114000001017400,27,50,110,002,28,093100,11,140,000,01,017400
5011000078068400,2635000039061400,27,50,110,000,78,068400,26,350,000,39,061400
5011001108080200,2723000090044300,11,50,110,011,08,080200,27,230,000,90,044300
5011000078068400,4684000253008100,27,50,110,000,78,068400,46,840,002,53,008100
5013000824069200,4159000606053100,27,50,130,008,24,069200,41,590,006,06,053100
4157000306018300,5011000721056300,14,41,570,003,06,018300,50,110,007,21,056300
4141000031030100,5011000316031300,93,41,410,000,31,030100,50,110,003,16,031300
1120000016014200,5013000862020200,56,11,200,000,16,014200,50,130,008,62,020200
5011000213090100,4311100053096300,27,50,110,002,13,090100,43,111,000,53,096300
5011000078068400,4117300013080100,27,50,110,000,78,068400,41,173,000,13,080100
5011000437099200,1171000017011300,27,50,110,004,37,099200,11,710,000,17,011300
5011000272063400,2917000060077400,66,50,110,002,72,063400,29,170,000,60,077400
5011001095042400,4219000121086300,17,50,110,010,95,042400,42,190,001,21,086300
4137000004003200,5013000894007200,33,41,370,000,04,003200,50,130,008,94,007200
5011000137030100,4427000312002200,27,50,110,001,37,030100,44,270,003,12,002200
4471000114055400,5011000259007300,97,44,710,001,14,055400,50,110,002,59,007300
4113500034035400,5011000314069300,47,41,135,000,34,035400,50,110,003,14,069300
4159000429094300,5011000266081300,44,41,590,004,29,094300,50,110,002,66,081300
5013000809098300,4111300011021400,27,50,130,008,09,098300,41,113,000,11,021400
5011001034043300,4812500013091300,27,50,110,010,34,043300,48,125,000,13,091300
4141000031030100,5011000314070200,29,41,410,000,31,030100,50,110,003,14,070200
4122000363057300,5011000377088400,5,41,220,003,63,057300,50,110,003,77,088400
5013000839009300,4159000342006400,27,50,130,008,39,009300,41,590,003,42,006400
5011000543041100,4139000088062400,19,50,110,005,43,041100,41,390,000,88,062400
5013000610049100,4721000408083100,27,50,130,006,10,049100,47,210,004,08,083100
5011000078068400,4615000599014400,27,50,110,000,78,068400,46,150,005,99,014400
5011000178007200,4146300039078200,27,50,110,001,78,007200,41,463,000,39,078200
5013000777063100,1168000008034200,27,50,130,007,77,063100,11,680,000,08,034200
5013000205030200,2823700015068100,27,50,130,002,05,030200,28,237,000,15,068100
5011001060063300,4127300027095200,27,50,110,010,60,063300,41,273,000,27,095200
5013000610049100,4121000009032400,27,50,130,006,10,049100,41,210,000,09,032400
4141000031009400,5011000174063300,3,41,410,000,31,009400,50,110,001,74,063300
4514000193039100,5013000674093300,27,45,140,001,93,039100,50,130,006,74,093300
5011000316024300,4514000400097200,51,50,110,003,16,024300,45,140,004,00,097200
5013000821028200,1171000014091400,27,50,130,008,21,028200,11,710,000,14,091400
4141000031009400,5013000866045300,3,41,410,000,31,009400,50,130,008,66,045300
5013000854017300,1147000011041300,27,50,130,008,54,017300,11,470,000,11,041300
5011000078068400,4812100207003400,27,50,110,000,78,068400,48,121,002,07,003400
5013000734079400,3114000017054100,80,50,130,007,34,079400,31,140,000,17,054100
5011000078068400,2614000004077200,27,50,110,000,78,068400,26,140,000,04,077200
4163000083095400,5011000218061100,17,41,630,000,83,095400,50,110,002,18,061100
1117000009037100,5011000264100200,15,11,170,000,09,037100,50,110,002,64,100200
4157000306018300,5011000367022200,44,41,570,003,06,018300,50,110,003,67,022200
5011000595017300,4812500020057400,67,50,110,005,95,017300,48,125,000,20,057400
5013000723077100,4122000298080300,27,50,130,007,23,077100,41,220,002,98,080300
4141000031030100,5011000266047300,35,41,410,000,31,030100,50,110,002,66,047300
5011000078068400,2920000092029100,27,50,110,000,78,068400,29,200,000,92,029100
4122000363057300,5013000782056100,36,41,220,003,63,057300,50,130,007,82,056100
5011000582021400,4831000231092200,80,50,110,005,82,021400,48,310,002,31,092200
5011000078068400,4831000254017200,27,50,110,000,78,068400,48,310,002,54,017200
5011000137023400,4115000044082300,3,50,110,001,37,023400,41,150,000,44,082300
5013000610049100,4157000210048200,27,50,130,006,10,049100,41,570,002,10,048200
5011000078068400,2814000003099200,27,50,110,000,78,068400,28,140,000,03,099200
5013000832003400,1156000018096200,27,50,130,008,32,003400,11,560,000,18,096200
5011000968068300,2723000037021300,27,50,110,009,68,068300,27,230,000,37,021300
5011000214049400,4418000265069400,27,50,110,002,14,049400,44,180,002,65,069400
2620000005018100,5013000770034100,25,26,200,000,05,018100,50,130,007,70,034100
5011000266051200,4148000585028400,27,50,110,002,66,051200,41,480,005,85,028400
5013000581065400,2771000336043400,27,50,130,005,81,065400,27,710,003,36,043400
5011000316024300,4313000639029100,51,50,110,003,16,024300,43,130,006,39,029100
5013000740006400,2826000067090400,27,50,130,007,40,006400,28,260,000,67,090400
5011000078068400,3020000163096200,27,50,110,000,78,068400,30,200,001,63,096200
4146100002027300,5011000320081200,26,41,461,000,02,027300,50,110,003,20,081200
5011000078068400,1150000038064100,27,50,110,000,78,068400,11,500,000,38,064100
5013000731055200,1129000009088400,27,50,130,007,31,055200,11,290,000,09,088400
5013000731055200,4163000105092300,27,50,130,007,31,055200,41,630,001,05,092300
5011000078068400,4159000342015400,27,50,110,000,78,068400,41,590,003,42,015400
4127300065073100,5011000373065300,6,41,273,000,65,073100,50,110,003,73,065300
5011000078068400,2817000021016300,27,50,110,000,78,068400,28,170,000,21,016300
5013000610049100,4119500001075200,27,50,130,006,10,049100,41,195,000,01,075200
4375000215040400,5011000373027300,25,43,750,002,15,040400,50,110,003,73,027300
4159000429094300,5011000092011400,3,41,590,004,29,094300,50,110,000,92,011400
5011001007011200,3017000027099100,27,50,110,010,07,011200,30,170,000,27,099100
5011000314031200,2826000142055100,25,50,110,003,14,031200,28,260,001,42,055100
5011000078068400,1171000002012100,27,50,110,000,78,068400,11,710,000,02,012100
5011000595017300,1168000013070100,67,50,110,005,95,017300,11,680,000,13,070100
5011000078068400,4113100020098300,27,50,110,000,78,068400,41,131,000,20,098300
5011000326012100,4783000287028300,27,50,110,003,26,012100,47,830,002,87,028300
2714000172001200,5011000214079400,45,27,140,001,72,001200,50,110,002,14,079400
3020000113067200,5013000809096300,11,30,200,001,13,067200,50,130,008,09,096300
4148000690015300,5011000319033200,34,41,480,006,90,015300,50,110,003,19,033200
5013000513092400,4278000581055100,27,50,130,005,13,092400,42,780,005,81,055100
5013000610049100,4141000003014200,27,50,130,006,10,049100,41,410,000,03,014200
5011000137030100,4113100025018200,27,50,110,001,37,030100,41,131,000,25,018200
4141000031030100,5011000314070200,36,41,410,000,31,030100,50,110,003,14,070200
5013000691060200,2914000020019300,27,50,130,006,91,060200,29,140,000,20,019300
5011000078068400,1121500011072400,27,50,110,000,78,068400,11,215,000,11,072400
5013000692034400,1168000013095400,27,50,130,006,92,034400,11,680,000,13,095400
5013000610049100,4511300074034300,27,50,130,006,10,049100,45,113,000,74,034300
1165000006069300,5013000467039100,33,11,650,000,06,069300,50,130,004,67,039100
5011000078068400,1153000006025100,27,50,110,000,78,068400,11,530,000,06,025100
4161000144040200,5011000313030100,5,41,610,001,44,040200,50,110,003,13,030100
3171000791037400,5011000035010300,17,31,710,007,91,037400,50,110,000,35,010300
4148000699072200,5013000635005300,67,41,480,006,99,072200,50,130,006,35,005300
5013000821028200,1147000011009400,27,50,130,008,21,028200,11,470,000,11,009400
5013000624091200,3011000084075100,27,50,130,006,24,091200,30,110,000,84,075100
5013000821028200,4122000314092300,27,50,130,008,21,028200,41,220,003,14,092300
2650000007007100,5011000112053100,17,26,500,000,07,007100,50,110,001,12,053100
5011000314059300,3611000373004300,66,50,110,003,14,059300,36,110,003,73,004300
1168000007002200,5011000373011400,46,11,680,000,07,002200,50,110,003,73,011400
5013000618013100,4111700020045400,11,50,130,006,18,013100,41,117,000,20,045400
2647000008065400,5013000732081200,17,26,470,000,08,065400,50,130,007,32,081200
1168000015064300,5011000266003200,21,11,680,000,15,064300,50,110,002,66,003200
1129000022055300,5013000635072300,93,11,290,000,22,055300,50,130,006,35,072300
5011000420060100,4159000303004200,27,50,110,004,20,060100,41,590,003,03,004200
5013000858034200,2818500027005400,27,50,130,008,58,034200,28,185,000,27,005400
4377000369095300,5011000373064400,57,43,770,003,69,095300,50,110,003,73,064400
5013000608075200,4127300008093100,27,50,130,006,08,075200,41,273,000,08,093100
5011000137030100,4146300010023200,27,50,110,001,37,030100,41,463,000,10,023200
4311100052060100,5011000319051100,30,43,111,000,52,060100,50,110,003,19,051100
1117000009079100,5011000315076100,31,11,170,000,09,079100,50,110,003,15,076100
5011000685067100,2635000059017200,27,50,110,006,85,067100,26,350,000,59,017200
5011000078068400,2729000021081400,27,50,110,000,78,068400,27,290,000,21,081400
4145000082015200,5011000423093100,51,41,450,000,82,015200,50,110,004,23,093100
5011000377088400,2920000165057200,80,50,110,003,77,088400,29,200,001,65,057200
5013000731055200,2826000031056200,27,50,130,007,31,055200,28,260,000,31,056200
4157000306018300,5011000672072300,77,41,570,003,06,018300,50,110,006,72,072300
5013000610049100,1123000006078100,27,50,130,006,10,049100,11,230,000,06,078100
5013000777063100,4514000358080400,27,50,130,007,77,063100,45,140,003,58,080400
5013000733025400,4822000217100300,27,50,130,007,33,025400,48,220,002,17,100300
5013000617099100,2824500032056200,27,50,130,006,17,099100,28,245,000,32,056200
5011000078068400,4150000154041100,27,50,110,000,78,068400,41,500,001,54,041100
4150000241045200,5011000314075300,5,41,500,002,41,045200,50,110,003,14,075300
5013000610049100,4139000018034400,27,50,130,006,10,049100,41,390,000,18,034400
5011000685067100,2824500006026300,27,50,110,006,85,067100,28,245,000,06,026300
5013000731055200,4671000224039400,27,50,130,007,31,055200,46,710,002,24,039400
4511300030055300,5013000014003100,25,45,113,000,30,055300,50,130,000,14,003100
5013000731055200,4139000110020100,27,50,130,007,31,055200,41,390,001,10,020100
4146100146003300,5011000319022200,33,41,461,001,46,003300,50,110,003,19,022200
5013000524039300,1150000030035300,27,50,130,005,24,039300,11,500,000,30,035300
5013000731055200,1138000021002200,27,50,130,007,31,055200,11,380,000,21,002200
5011000137030100,4127300025034200,27,50,110,001,37,030100,41,273,000,25,034200
4157000128031400,5011000258050200,80,41,570,001,28,031400,50,110,002,58,050200
5013000622057100,4480000134082100,27,50,130,006,22,057100,44,800,001,34,082100
2818500012018400,5011000168084200,17,28,185,000,12,018400,50,110,001,68,084200
5011000375010100,2632000004052400,27,50,110,003,75,010100,26,320,000,04,052400
5011000478099100,3023000064020300,27,50,110,004,78,099100,30,230,000,64,020300
4141000031030100,5011000485007200,42,41,410,000,31,030100,50,110,004,85,007200
5013000821028200,1135000012060300,27,50,130,008,21,028200,11,350,000,12,060300
5013000817046300,1150000024052400,27,50,130,008,17,046300,11,500,000,24,052400
5011000078068400,1129000023055100,27,50,110,000,78,068400,11,290,000,23,055100
5013000235040100,1123000004035400,27,50,130,002,35,040100,11,230,000,04,035400
5013000821028200,2917000038001400,27,50,130,008,21,028200,29,170,000,38,001400
4141000031030100,5011000313008400,85,41,410,000,31,030100,50,110,003,13,008400
5013000205048400,2729000040004300,27,50,130,002,05,048400,27,290,000,40,004300
5013000777063100,3017000033030100,27,50,130,007,77,063100,30,170,000,33,030100
5011000685067100,4719000594013100,27,50,110,006,85,067100,47,190,005,94,013100
5011000078068400,2823700002090400,27,50,110,000,78,068400,28,237,000,02,090400
5013000803023100,1120000001028400,27,50,130,008,03,023100,11,200,000,01,028400
5011000137030100,3011000053053100,27,50,110,001,37,030100,30,110,000,53,053100
5011000137030100,4825000412052100,27,50,110,001,37,030100,48,250,004,12,052100
5011000199044400,2818500033010100,27,50,110,001,99,044400,28,185,000,33,010100
5013000610049100,1159000011014400,27,50,130,006,10,049100,11,590,000,11,014400
5013000777063100,2911000010069200,27,50,130,007,77,063100,29,110,000,10,069200
5013000616057100,4137000039079200,27,50,130,006,16,057100,41,370,000,39,079200
4148000690015300,5011000316051200,34,41,480,006,90,015300,50,110,003,16,051200
5013000731055200,4148000672005300,27,50,130,007,31,055200,41,480,006,72,005300
5011000318079400,1171000023026200,27,50,110,003,18,079400,11,710,000,23,026200
5013000821028200,4719000435061100,27,50,130,008,21,028200,47,190,004,35,061100
5013000622057100,4163000159071100,27,50,130,006,22,057100,41,630,001,59,071100
5013000821028200,4825000421096100,27,50,130,008,21,028200,48,250,004,21,096100
5013000821028200,2826000142060300,27,50,130,008,21,028200,28,260,001,42,060300
5011000078068400,2826000026042200,27,50,110,000,78,068400,28,260,000,26,042200
4128500007025200,5011000556069300,84,41,285,000,07,025200,50,110,005,56,069300
5013000731055200,4163000138089300,27,50,130,007,31,055200,41,630,001,38,089300
5011000137030100,4159000179020300,27,50,110,001,37,030100,41,590,001,79,020300
5011000424078200,4514000381003300,27,50,110,004,24,078200,45,140,003,81,003300
4372000406047400,5011000157058300,27,43,720,004,06,047400,50,110,001,57,058300
5011000525070400,2820000055098300,27,50,110,005,25,070400,28,200,000,55,098300
5013000610049100,1144000018051300,27,50,130,006,10,049100,11,440,000,18,051300
4148000690015300,5011000263066100,34,41,480,006,90,015300,50,110,002,63,066100
5011000437099200,4371000159061300,27,50,110,004,37,099200,43,710,001,59,061300
5013000783057100,3011000060079300,27,50,130,007,83,057100,30,110,000,60,079300
5011000078068400,4479000071002200,27,50,110,000,78,068400,44,790,000,71,002200
4148000626030400,5011000319087400,3,41,480,006,26,030400,50,110,003,19,087400
5013000851012100,4415000483031400,19,50,130,008,51,012100,44,150,004,83,031400
5013000673010300,2653000003010100,27,50,130,006,73,010300,26,530,000,03,010100
5013000624091200,2817000009057300,27,50,130,006,24,091200,28,170,000,09,057300
5011000225012300,2818500014035100,66,50,110,002,25,012300,28,185,000,14,035100
5011000215098200,5011000266093200,25,50,110,002,15,098200,50,110,002,66,093200
5011001074083100,4514000398048100,27,50,110,010,74,083100,45,140,003,98,048100
5013000777063100,1141000008069400,27,50,130,007,77,063100,11,410,000,08,069400
5011000595017300,4161000163031100,67,50,110,005,95,017300,41,610,001,63,031100
5011000078068400,4146300009053300,27,50,110,000,78,068400,41,463,000,09,053300
5011000213090100,4519000332089200,3,50,110,002,13,090100,45,190,003,32,089200
5011000078068400,4159000383063400,27,50,110,000,78,068400,41,590,003,83,063400
5013000043054100,2914000014069400,27,50,130,000,43,054100,29,140,000,14,069400
4146100146003300,5011000319022400,33,41,461,001,46,003300,50,110,003,19,022400
5011000375010100,4128500048080200,66,50,110,003,75,010100,41,285,000,48,080200
5011000078068400,4157000290019200,27,50,110,000,78,068400,41,570,002,90,019200
5011000078068400,4128100111047200,27,50,110,000,78,068400,41,281,001,11,047200
4113500004083400,5011000264090300,71,41,135,000,04,083400,50,110,002,64,090300
4427000366060200,5011000544072300,5,44,270,003,66,060200,50,110,005,44,072300
5011000078068400,2818500045039100,27,50,110,000,78,068400,28,185,000,45,039100
4213000356075200,5011000266021300,25,42,130,003,56,075200,50,110,002,66,021300
5011000078068400,4513000190026200,27,50,110,000,78,068400,45,130,001,90,026200
5013000854017300,4117300024042100,27,50,130,008,54,017300,41,173,000,24,042100
4161000402022400,5011000318032100,44,41,610,004,02,022400,50,110,003,18,032100
4148000690015300,5013000626058400,34,41,480,006,90,015300,50,130,006,26,058400
5011000368010400,4725000719093400,27,50,110,003,68,010400,47,250,007,19,093400
5013000777063100,1150000024058100,27,50,130,007,77,063100,11,500,000,24,058100
5013000056001300,4713000426076400,27,50,130,000,56,001300,47,130,004,26,076400
4579000177091200,5011000173064200,80,45,790,001,77,091200,50,110,001,73,064200
5013000754028300,2826000087078100,27,50,130,007,54,028300,28,260,000,87,078100
5013000826031400,2771000111067100,27,50,130,008,26,031400,27,710,001,11,067100
5013000731055200,2817000021020100,27,50,130,007,31,055200,28,170,000,21,020100
5011000437099200,4482500367016400,27,50,110,004,37,099200,44,825,003,67,016400
5013000854086200,1156000008087100,27,50,130,008,54,086200,11,560,000,08,087100
5013000735079200,2717000016004300,27,50,130,007,35,079200,27,170,000,16,004300
5011000178097200,1121500015099300,27,50,110,001,78,097200,11,215,000,15,099300
4161000271049100,5013000828031200,71,41,610,002,71,049100,50,130,008,28,031200
5013000765096400,1171000030036400,27,50,130,007,65,096400,11,710,000,30,036400
5013000821028200,4421000446044100,27,50,130,008,21,028200,44,210,004,46,044100
5013000821078200,1130500015063200,27,50,130,008,21,078200,11,305,000,15,063200
5011000313069200,3611000164010200,80,50,110,003,13,069200,36,110,001,64,010200
5011000137030100,4514000456014400,27,50,110,001,37,030100,45,140,004,56,014400
5011000078068400,4825000341028100,27,50,110,000,78,068400,48,250,003,41,028100
5013000685046100,3014000024094400,27,50,130,006,85,046100,30,140,000,24,094400
5011000183026200,4511100012039100,27,50,110,001,83,026200,45,111,000,12,039100
5011000316024300,4514000335082200,51,50,110,003,16,024300,45,140,003,35,082200
5013000777063100,4148000336045400,27,50,130,007,77,063100,41,480,003,36,045400
5011000213090100,2644000142018100,27,50,110,002,13,090100,26,440,001,42,018100
5013000354052200,2726000025097200,27,50,130,003,54,052200,27,260,000,25,097200
5011001077072100,2817000002058100,27,50,110,010,77,072100,28,170,000,02,058100
5011000078068400,4888000549075400,27,50,110,000,78,068400,48,880,005,49,075400
5013000610049100,1171000021005400,27,50,130,006,10,049100,11,710,000,21,005400
4825000320060400,5011000312074200,51,48,250,003,20,060400,50,110,003,12,074200
5013000731055200,2726000025008300,27,50,130,007,31,055200,27,260,000,25,008300
5011000137030100,4311100058094300,27,50,110,001,37,030100,43,111,000,58,094300
5013000610049100,4143000010001400,27,50,130,006,10,049100,41,430,000,10,001400
5013000827049100,4115000027045100,27,50,130,008,27,049100,41,150,000,27,045100
5011000424078200,3171000621001400,27,50,110,004,24,078200,31,710,006,21,001400
5013000731055200,2632000020049400,27,50,130,007,31,055200,26,320,000,20,049400
5013000765096400,4713000362029100,27,50,130,007,65,096400,47,130,003,62,029100
5013000610049100,2647000010040200,27,50,130,006,10,049100,26,470,000,10,040200
5013000871062200,4113500018082400,27,50,130,008,71,062200,41,135,000,18,082400
4128500028049400,5011000305080400,66,41,285,000,28,049400,50,110,003,05,080400
5011000264026100,5011000376003100,59,50,110,002,64,026100,50,110,003,76,003100
5013000858004300,4121000014080400,27,50,130,008,58,004300,41,210,000,14,080400
5011000137030100,2714000077085300,27,50,110,001,37,030100,27,140,000,77,085300
5011000173096100,1174000010100300,27,50,110,001,73,096100,11,740,000,10,100300
5013000897086300,4315000173071100,27,50,130,008,97,086300,43,150,001,73,071100
1111000025015300,5011000328026100,41,11,110,000,25,015300,50,110,003,28,026100
5011000113015100,4413100147020200,27,50,110,001,13,015100,44,131,001,47,020200
5011000225030100,4825000421013400,27,50,110,002,25,030100,48,250,004,21,013400
4150000232082100,5013000823055100,90,41,500,002,32,082100,50,130,008,23,055100
5011000316024300,4511100045065400,51,50,110,003,16,024300,45,111,000,45,065400
5013000735004100,1129000012082100,27,50,130,007,35,004100,11,290,000,12,082100
5013000821028200,2823700015049100,27,50,130,008,21,028200,28,237,000,15,049100
4511300060053300,5013000529050300,10,45,113,000,60,053300,50,130,005,29,050300
4148000699072200,5011000435096200,67,41,480,006,99,072200,50,110,004,35,096200
