gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
1,1,1,0,225000.0,4,4,1,1,14496,808,0,1,0,5,2.0,26.0
0,0,1,2,112500.0,4,4,1,1,12974,2379,0,0,0,9,4.0,49.0
0,1,0,1,157500.0,4,1,1,1,11900,2828,0,0,0,9,3.0,41.0
1,1,1,0,360000.0,0,4,1,1,15344,314,0,0,0,4,2.0,33.0
0,1,1,0,360000.0,4,4,2,1,10597,574,1,0,0,12,1.0,35.0
1,1,1,0,180000.0,0,4,1,1,17975,3476,0,0,0,4,2.0,32.0
0,0,0,0,175500.0,4,4,1,1,18868,10993,1,0,0,5,2.0,46.0
0,0,1,0,90000.0,1,4,1,1,20362,0,0,0,0,13,2.0,35.0
1,0,1,1,135000.0,4,4,2,1,16728,880,0,0,0,9,2.0,38.0
1,0,1,2,157500.0,4,4,1,1,10087,1447,0,0,0,5,4.0,44.0
1,0,1,1,202500.0,2,1,1,1,10756,2355,0,0,0,3,3.0,39.0
0,0,1,0,153000.0,1,1,1,1,21899,0,0,1,0,13,2.0,51.0
0,1,1,1,72000.0,4,4,1,1,17136,1266,0,0,0,16,3.0,11.0
1,1,1,2,360000.0,4,4,1,1,13465,839,0,1,0,11,4.0,33.0
0,0,0,1,540000.0,4,4,2,1,16409,2045,1,0,0,11,2.0,60.0
0,0,1,0,155250.0,1,4,1,1,22044,0,0,0,0,13,2.0,24.0
1,1,1,0,189000.0,4,4,1,1,20815,829,0,0,1,18,2.0,3.0
0,0,1,0,139500.0,2,1,1,1,21017,895,1,1,0,5,2.0,4.0
0,0,1,0,495000.0,1,4,4,1,21596,0,0,1,0,13,1.0,15.0
1,1,0,0,459000.0,0,4,1,1,15980,119,1,1,0,4,2.0,14.0
0,0,0,0,157500.0,4,4,1,1,19702,9870,1,1,0,5,2.0,21.0
0,0,1,1,225000.0,4,4,2,1,14077,3792,0,0,0,5,2.0,3.0
1,1,1,1,450000.0,0,4,1,1,18173,678,0,1,1,3,3.0,60.0
0,0,0,0,135000.0,4,4,1,1,15499,869,0,0,0,14,2.0,2.0
1,0,1,1,135000.0,4,4,1,1,15812,8091,0,0,0,5,3.0,49.0
0,0,1,0,189000.0,1,4,1,1,23086,0,0,0,0,13,2.0,19.0
0,0,1,0,225000.0,0,1,1,1,10755,1040,0,0,1,16,2.0,15.0
1,0,1,0,112500.0,4,4,1,1,10705,1376,0,0,0,4,2.0,2.0
0,1,0,0,315000.0,2,1,1,1,17940,9957,1,0,0,11,2.0,26.0
0,0,0,0,157500.0,0,1,3,4,11785,1415,0,0,0,5,1.0,22.0
1,0,0,0,126000.0,1,4,1,1,20288,0,0,0,0,13,2.0,12.0
1,1,1,0,315000.0,0,4,1,4,16990,2026,0,0,0,4,2.0,19.0
0,1,1,0,720000.0,0,1,2,1,20791,4814,1,1,0,11,1.0,58.0
0,0,1,0,90000.0,1,4,1,1,20718,0,0,0,0,13,2.0,5.0
0,0,1,2,67500.0,4,1,1,1,10281,961,1,0,0,5,4.0,12.0
0,0,1,0,157500.0,1,4,1,1,22861,0,0,1,0,13,2.0,42.0
1,1,0,0,225000.0,4,4,1,3,15092,995,0,0,1,4,2.0,46.0
0,0,1,0,180000.0,4,3,4,1,16803,2227,1,1,0,1,1.0,49.0
0,1,1,0,216000.0,4,1,1,1,18529,1809,0,0,0,17,2.0,10.0
0,1,1,1,157500.0,0,4,1,1,13830,4239,0,0,0,9,3.0,4.0
0,0,0,0,112500.0,1,4,4,1,20027,0,0,0,0,13,1.0,26.0
0,0,1,0,112500.0,4,4,1,1,16573,4574,0,0,0,5,2.0,44.0
0,0,1,0,90000.0,1,4,3,1,23262,0,0,1,0,13,1.0,13.0
0,0,0,0,121500.0,1,4,1,1,21310,0,0,0,0,13,2.0,28.0
0,0,1,0,135000.0,4,1,1,1,13299,1628,0,0,0,9,2.0,14.0
1,1,0,0,202500.0,0,4,1,1,16224,2574,0,0,0,18,2.0,22.0
1,1,0,1,252000.0,2,1,1,1,12483,1650,1,1,0,7,3.0,19.0
0,0,1,0,202500.0,4,4,0,1,10981,552,0,0,0,9,2.0,5.0
1,1,1,0,202500.0,4,4,1,1,9889,2289,0,0,0,11,2.0,36.0
1,0,1,1,360000.0,4,4,0,1,11524,2554,0,0,0,16,3.0,49.0
0,0,1,2,225000.0,2,4,1,1,13077,5394,1,0,0,12,4.0,26.0
0,0,1,2,360000.0,4,4,1,1,15812,658,0,1,0,16,4.0,11.0
1,1,1,0,202500.0,4,1,1,1,14646,1953,0,0,0,11,2.0,3.0
0,1,1,0,225000.0,4,1,1,1,12322,3717,0,0,0,3,2.0,10.0
0,0,0,0,135000.0,4,1,1,1,14185,4447,1,0,0,3,2.0,8.0
1,1,1,0,360000.0,0,4,1,1,11613,4031,0,1,0,9,2.0,41.0
1,0,0,0,382500.0,4,4,1,2,17254,1207,1,1,0,11,2.0,46.0
0,0,1,0,171000.0,4,4,3,4,16938,673,0,0,0,9,1.0,28.0
1,0,0,0,292500.0,2,4,1,1,11365,2745,1,1,0,3,2.0,48.0
0,1,0,0,144000.0,4,4,4,1,14407,1345,0,0,0,6,1.0,6.0
0,0,0,2,112500.0,2,1,1,1,11604,2721,0,0,1,3,4.0,3.0
0,0,1,0,81000.0,1,4,1,1,21383,0,0,1,0,13,2.0,18.0
0,1,1,1,225000.0,4,1,2,1,14816,1672,0,0,0,3,2.0,0.0
0,0,1,0,315000.0,0,1,2,1,17752,2380,1,1,0,0,1.0,52.0
1,1,1,1,427500.0,4,1,1,1,15085,354,0,0,0,11,3.0,3.0
0,0,0,0,78750.0,4,4,1,5,12104,2045,1,0,0,18,2.0,13.0
0,0,0,0,67500.0,1,1,4,1,24081,0,0,0,0,13,1.0,30.0
0,0,1,0,121500.0,4,4,1,1,22046,2011,0,0,0,9,2.0,13.0
0,0,0,0,144000.0,4,4,3,1,16898,7310,1,1,0,3,1.0,42.0
0,0,1,0,135000.0,1,4,1,1,22283,0,0,0,0,13,2.0,45.0
0,0,0,0,94500.0,1,4,1,1,21513,0,0,1,0,13,2.0,41.0
0,1,0,0,562500.0,4,1,1,1,14654,2836,1,0,0,11,2.0,12.0
0,0,1,0,90000.0,1,4,3,1,21992,0,0,0,0,13,1.0,32.0
0,0,0,1,72000.0,0,1,1,1,14173,1925,0,0,1,0,3.0,43.0
1,0,1,0,144000.0,4,4,0,1,16979,1830,0,0,0,18,2.0,11.0
0,1,0,0,202500.0,0,4,1,2,21276,1128,0,1,0,0,2.0,17.0
0,0,0,0,270000.0,4,1,1,1,17573,5792,1,1,0,11,2.0,28.0
1,1,0,1,180000.0,4,4,1,1,11498,4491,0,0,0,5,3.0,12.0
0,1,1,2,315000.0,0,1,1,5,12621,1327,0,0,0,11,4.0,50.0
1,1,1,0,180000.0,4,4,1,1,19565,3246,0,0,0,5,2.0,49.0
1,0,1,0,292500.0,0,1,3,4,9990,1221,0,1,0,16,1.0,7.0
0,0,1,0,90000.0,1,1,1,1,21340,0,0,0,0,13,2.0,51.0
0,0,0,0,103500.0,4,4,1,1,17767,11062,1,0,0,12,2.0,37.0
0,1,0,0,67500.0,1,4,1,1,22989,0,0,1,0,13,2.0,19.0
0,1,1,0,225000.0,4,1,0,1,11067,492,0,0,0,16,2.0,17.0
1,1,1,0,112500.0,4,4,1,1,16076,7679,0,0,0,5,2.0,27.0
1,1,1,0,450000.0,0,4,1,1,18318,923,0,1,1,4,2.0,59.0
1,0,1,0,247500.0,0,1,0,1,15995,401,0,0,0,3,2.0,11.0
1,1,0,0,247500.0,0,4,1,1,17455,1321,0,0,0,4,2.0,20.0
0,0,0,0,112500.0,2,4,1,1,14216,6649,1,1,0,5,2.0,27.0
1,0,0,0,225000.0,4,4,1,1,15634,158,1,0,0,9,2.0,29.0
0,1,1,1,270000.0,4,1,2,1,14052,140,0,1,1,16,2.0,37.0
1,1,0,0,382500.0,2,1,1,3,11960,4174,0,0,0,5,2.0,3.0
1,0,0,2,202500.0,4,4,1,1,12703,3141,0,1,0,9,4.0,18.0
0,0,0,2,180000.0,0,4,1,1,13791,1353,1,0,0,0,4.0,6.0
0,0,1,0,112500.0,0,4,3,1,15903,762,0,0,0,16,1.0,13.0
1,0,0,1,99000.0,4,4,3,1,17876,5239,0,0,0,9,2.0,1.0
0,1,1,1,157500.0,2,4,1,1,13811,3380,0,0,0,9,3.0,23.0
0,1,1,0,202500.0,4,1,1,1,20182,7514,0,0,0,0,2.0,43.0
0,0,1,0,90000.0,4,4,1,1,18474,3021,0,0,1,1,2.0,28.0
1,1,1,2,157500.0,0,1,1,5,14192,626,0,0,0,4,4.0,47.0
1,0,0,0,180000.0,4,1,1,1,14972,1063,0,0,0,3,2.0,43.0
1,0,1,1,180000.0,0,4,1,2,12627,2267,0,0,0,7,3.0,11.0
0,0,0,0,202500.0,1,4,1,1,20565,0,0,1,0,13,2.0,14.0
0,1,0,1,90000.0,4,2,1,4,12383,3480,0,0,0,9,3.0,6.0
0,0,1,0,225000.0,0,1,3,1,19777,6835,1,1,0,3,1.0,22.0
0,1,1,0,126000.0,0,4,1,1,10302,734,0,0,0,3,2.0,32.0
0,0,1,1,180000.0,2,1,1,1,10969,3485,0,0,1,7,3.0,5.0
0,0,1,2,360000.0,0,4,3,1,13576,3560,0,0,0,16,3.0,25.0
0,0,1,0,157500.0,1,4,4,1,23774,0,0,0,0,13,1.0,17.0
0,0,1,0,315000.0,4,4,2,1,15256,3291,0,0,0,9,1.0,18.0
0,1,1,1,270000.0,4,4,1,1,14512,4596,0,0,0,9,3.0,46.0
0,0,1,1,180000.0,4,1,0,1,13767,1882,0,0,0,16,3.0,41.0
0,0,1,2,180000.0,4,4,1,1,13361,6586,1,0,0,3,4.0,18.0
1,0,0,0,180000.0,0,2,1,1,11223,2326,0,0,0,5,2.0,46.0
0,0,0,1,180000.0,4,2,1,5,9911,2665,0,0,0,5,3.0,38.0
0,0,0,0,81000.0,1,4,1,1,22791,0,0,0,0,13,2.0,33.0
0,0,0,0,67500.0,0,4,0,1,9323,1346,0,0,0,5,2.0,10.0
0,0,1,0,238500.0,4,1,1,1,20517,2971,1,1,0,16,2.0,12.0
0,1,1,0,202500.0,1,1,4,1,21269,0,0,0,1,13,1.0,39.0
0,0,1,0,630000.0,4,1,2,1,22001,1539,1,1,0,0,1.0,41.0
0,0,1,0,405000.0,0,4,3,1,13362,1963,0,0,0,16,1.0,25.0
1,1,0,2,135000.0,4,1,1,1,12725,1631,0,0,0,3,4.0,42.0
0,1,0,0,112500.0,4,1,1,5,10475,1792,1,1,0,3,2.0,11.0
0,0,1,0,67500.0,1,4,1,1,22844,0,0,0,0,13,2.0,13.0
1,1,0,2,135000.0,4,4,1,5,16625,561,0,0,0,5,4.0,23.0
1,1,1,0,184500.0,2,1,1,1,13916,169,0,0,0,11,2.0,60.0
1,1,0,1,337500.0,2,1,1,1,12794,3574,0,0,0,5,3.0,2.0
0,0,0,0,67500.0,1,4,2,1,21516,0,0,0,0,13,1.0,8.0
1,0,1,1,90000.0,0,4,1,5,8316,149,0,0,0,9,3.0,20.0
0,0,1,0,180000.0,4,1,1,1,14083,7049,1,0,0,3,2.0,0.0
1,1,1,0,112500.0,1,4,1,1,19987,0,0,0,0,13,2.0,35.0
0,0,1,0,112500.0,4,4,1,1,22408,2685,0,1,0,2,2.0,44.0
0,0,1,0,76500.0,1,4,1,1,24311,0,0,1,0,13,2.0,9.0
1,0,0,0,90000.0,1,4,3,1,20644,0,0,0,0,13,1.0,5.0
1,1,1,0,252000.0,0,1,1,1,13796,2682,0,0,0,4,2.0,33.0
1,1,1,0,180000.0,1,4,0,1,23289,0,0,1,0,13,2.0,22.0
0,0,1,0,112500.0,4,4,4,1,16917,4081,1,0,0,9,1.0,3.0
1,0,1,1,562500.0,4,2,1,1,13790,5639,1,1,0,5,3.0,35.0
0,0,0,0,112500.0,0,4,1,1,18061,869,0,0,0,5,2.0,16.0
0,0,1,0,270000.0,4,4,3,1,12922,923,0,0,0,3,1.0,53.0
1,0,0,3,90000.0,2,4,1,1,14348,727,0,0,1,5,5.0,5.0
0,0,0,2,135000.0,0,4,1,1,12541,4549,1,1,0,9,4.0,16.0
0,0,0,0,157500.0,2,1,1,1,11588,801,1,1,0,3,2.0,23.0
0,0,0,0,135000.0,0,4,1,1,14201,2139,0,1,0,5,2.0,31.0
0,1,1,0,301500.0,1,1,1,1,21044,0,0,1,0,13,2.0,7.0
1,1,1,0,225000.0,4,4,1,1,10328,1156,0,0,0,9,2.0,20.0
0,0,0,0,135000.0,2,1,2,5,19514,1991,1,0,0,8,1.0,42.0
1,1,0,0,247500.0,4,2,2,1,10370,1550,1,1,0,11,1.0,9.0
0,0,0,0,270000.0,4,4,0,3,9184,840,1,1,0,16,2.0,25.0
1,1,1,0,315000.0,4,1,1,1,8440,1206,0,0,0,16,2.0,3.0
0,0,1,0,135000.0,0,4,1,1,11768,2086,0,0,1,9,2.0,54.0
1,1,0,2,315000.0,0,4,1,1,15476,2879,0,1,0,9,4.0,48.0
1,0,0,0,180000.0,0,4,1,1,14070,1565,1,1,0,9,2.0,17.0
0,1,1,0,256500.0,0,4,3,1,18554,703,0,0,0,3,1.0,21.0
1,1,1,0,180000.0,4,4,1,1,13052,1009,0,0,0,7,2.0,23.0
0,0,1,0,112500.0,1,4,1,1,18666,0,0,1,0,13,2.0,5.0
0,0,0,2,382500.0,2,4,1,1,18946,4827,0,0,0,18,4.0,33.0
0,0,1,0,112500.0,4,4,1,2,20589,3680,0,0,0,5,2.0,33.0
1,1,1,2,450000.0,0,1,1,1,17841,4305,1,1,0,11,4.0,25.0
1,1,1,0,180000.0,4,4,1,1,17158,2990,0,0,0,16,2.0,9.0
0,0,0,0,247500.0,0,4,0,1,16306,4904,1,1,0,9,2.0,55.0
0,1,1,0,315000.0,0,1,1,1,12883,3627,0,0,0,11,2.0,39.0
1,0,1,0,229500.0,4,4,3,1,16481,1292,1,1,0,4,1.0,19.0
0,0,1,0,148500.0,4,1,1,1,17641,889,0,0,0,3,2.0,20.0
0,0,1,0,135000.0,2,1,1,1,18964,8671,0,1,0,3,2.0,20.0
0,0,0,0,135000.0,4,4,1,1,17143,5507,0,1,0,5,2.0,3.0
0,0,0,0,166500.0,4,1,1,1,21466,3992,0,0,0,3,2.0,14.0
0,1,1,0,463500.0,4,1,1,1,20848,4090,1,1,0,11,2.0,34.0
0,0,1,0,90000.0,1,4,0,1,23236,0,0,0,0,13,2.0,14.0
0,0,1,0,157500.0,2,4,4,1,22887,2052,0,1,0,4,1.0,7.0
0,0,0,1,225000.0,0,4,0,1,12640,399,0,0,0,0,3.0,21.0
0,1,0,2,135000.0,4,1,0,2,11008,1285,1,1,0,16,4.0,41.0
1,1,0,4,202500.0,0,4,1,1,15328,2578,0,0,0,18,6.0,30.0
1,0,1,1,202500.0,0,4,1,1,16184,1003,0,0,0,4,3.0,15.0
1,1,1,1,405000.0,0,4,1,1,16510,731,0,0,0,5,3.0,22.0
