gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
M,Y,Y,2,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13059,-4813,1,0,0,0,Laborers,4.0,-49.0,0.0
F,N,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22302,365243,1,0,0,0,,2.0,-13.0,2.0
F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,-17641,-889,1,0,0,0,Core staff,2.0,-20.0,2.0
F,N,N,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10456,-1953,1,1,0,0,Medicine staff,2.0,-12.0,2.0
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-23758,365243,1,0,0,0,,2.0,-10.0,2.0
M,Y,Y,1,292500.0,Working,Secondary / secondary special,Married,House / apartment,-16666,-4469,1,0,1,0,Laborers,3.0,-41.0,2.0
F,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10112,-3170,1,1,1,0,Laborers,3.0,-50.0,2.0
F,Y,Y,0,391500.0,Working,Secondary / secondary special,Married,House / apartment,-16995,-7264,1,0,0,0,Core staff,2.0,-50.0,2.0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10124,-1358,1,0,0,0,Laborers,3.0,-28.0,0.0
M,N,Y,2,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11505,-4019,1,0,0,0,Laborers,3.0,-24.0,2.0
F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10309,-1610,1,0,0,0,Laborers,2.0,-10.0,1.0
M,N,N,0,270000.0,Working,Secondary / secondary special,Married,With parents,-11768,-622,1,1,1,0,Laborers,2.0,-46.0,2.0
M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-18625,-3153,1,0,1,0,Laborers,2.0,-3.0,0.0
F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,-19363,-12332,1,0,1,1,Medicine staff,1.0,-18.0,2.0
F,N,N,0,76500.0,Pensioner,Higher education,Married,House / apartment,-20833,365243,1,0,0,0,,2.0,-59.0,2.0
F,N,Y,1,126000.0,Working,Secondary / secondary special,Married,House / apartment,-11461,-1204,1,1,1,0,Cleaning staff,3.0,-11.0,0.0
M,N,Y,2,675000.0,State servant,Secondary / secondary special,Married,House / apartment,-14163,-6886,1,0,1,0,Drivers,4.0,-14.0,1.0
M,Y,N,0,81000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21633,365243,1,0,0,0,,2.0,-6.0,2.0
F,N,Y,0,135000.0,Working,Higher education,Single / not married,House / apartment,-9100,-1133,1,0,0,0,Managers,1.0,-31.0,1.0
M,N,Y,2,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12418,-226,1,1,1,0,Laborers,4.0,-33.0,2.0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12912,-3403,1,0,0,1,Drivers,1.0,-8.0,2.0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-2.0,1.0
M,Y,Y,3,180000.0,Working,Secondary / secondary special,Married,House / apartment,-14192,-824,1,1,1,0,High skill tech staff,5.0,-23.0,2.0
M,N,N,0,157500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-9849,-219,1,0,1,0,,1.0,-24.0,2.0
M,Y,N,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19983,365243,1,0,0,0,,2.0,-1.0,1.0
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14495,-3505,1,0,1,0,Laborers,2.0,-8.0,2.0
M,N,N,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-14364,-6352,1,0,0,0,Laborers,1.0,-25.0,2.0
F,N,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,-23369,-3437,1,0,1,0,Managers,1.0,-20.0,2.0
F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-15759,-374,1,1,0,0,Sales staff,2.0,-25.0,2.0
F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13821,-1071,1,0,0,1,Core staff,2.0,-45.0,2.0
F,N,Y,0,117000.0,Pensioner,Higher education,Married,House / apartment,-21428,365243,1,0,1,0,,2.0,-23.0,2.0
F,N,Y,0,630000.0,Working,Higher education,Separated,House / apartment,-22001,-1539,1,1,1,0,Accountants,1.0,-55.0,2.0
M,Y,N,1,135000.0,Working,Incomplete higher,Married,House / apartment,-13524,-1293,1,0,1,0,,3.0,-47.0,2.0
F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21253,365243,1,0,1,0,,2.0,-7.0,2.0
F,Y,Y,1,126000.0,Working,Higher education,Married,House / apartment,-9441,-157,1,0,0,0,,3.0,-8.0,2.0
M,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15627,-2315,1,0,0,0,,3.0,-37.0,2.0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10989,-135,1,1,1,0,,3.0,-29.0,2.0
M,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-21362,-1520,1,0,0,0,Laborers,2.0,-57.0,2.0
M,Y,N,0,360000.0,Working,Higher education,Civil marriage,House / apartment,-11841,-3092,1,1,0,0,Managers,2.0,-39.0,2.0
F,Y,N,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15932,-4490,1,0,0,0,High skill tech staff,2.0,-57.0,2.0
F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-12135,-1216,1,0,0,0,High skill tech staff,4.0,-2.0,1.0
M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,-9983,-1923,1,0,0,0,,2.0,-51.0,2.0
M,Y,Y,1,180000.0,Working,Higher education,Married,House / apartment,-14082,-1800,1,0,0,0,Managers,3.0,-39.0,2.0
F,N,Y,0,112500.0,Working,Incomplete higher,Civil marriage,House / apartment,-9301,-1751,1,0,0,0,,2.0,-55.0,2.0
F,Y,Y,1,126000.0,Working,Higher education,Married,House / apartment,-9441,-157,1,0,0,0,,3.0,-8.0,2.0
F,Y,Y,1,202500.0,Commercial associate,Higher education,Married,House / apartment,-15598,-1659,1,0,0,0,Accountants,3.0,-18.0,2.0
F,Y,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14116,-2269,1,0,0,0,Medicine staff,2.0,-39.0,2.0
M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-10482,-2654,1,0,0,0,,2.0,-22.0,2.0
M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-11378,-867,1,0,1,0,Drivers,3.0,-40.0,2.0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20665,365243,1,0,0,0,,2.0,-9.0,2.0
F,N,N,2,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12541,-4549,1,1,1,0,Laborers,4.0,-8.0,0.0
F,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-13592,-3504,1,0,1,1,Accountants,2.0,-20.0,2.0
M,Y,N,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,-16011,-1649,1,0,0,0,Managers,2.0,-14.0,1.0
M,Y,Y,0,144000.0,Commercial associate,Higher education,Married,House / apartment,-19270,-2356,1,0,1,0,Managers,2.0,-30.0,2.0
F,N,Y,0,450000.0,Working,Secondary / secondary special,Married,House / apartment,-21480,-4660,1,1,0,0,,2.0,-24.0,2.0
F,Y,Y,1,133650.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14596,-1965,1,0,0,0,,3.0,-45.0,2.0
M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-16728,-880,1,0,0,0,Laborers,2.0,-38.0,2.0
M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-9525,-1843,1,0,0,0,Laborers,1.0,-34.0,2.0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20132,365243,1,0,1,0,,1.0,-11.0,2.0
F,Y,Y,1,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-13811,-3380,1,0,0,0,Laborers,3.0,-23.0,0.0
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2.0,-46.0,2.0
F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-13012,-1342,1,0,1,0,Sales staff,3.0,-25.0,1.0
F,N,Y,0,360000.0,Working,Secondary / secondary special,Widow,House / apartment,-18388,-7830,1,0,0,0,Core staff,1.0,-28.0,2.0
F,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,-22964,365243,1,0,0,0,,2.0,-38.0,2.0
F,N,Y,1,270000.0,Commercial associate,Higher education,Married,House / apartment,-14850,-232,1,0,0,1,Core staff,3.0,-8.0,2.0
F,N,Y,0,99000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-21678,-1239,1,0,0,0,Security staff,1.0,-10.0,2.0
F,N,Y,0,148500.0,Working,Secondary / secondary special,Married,House / apartment,-12279,-1844,1,1,0,0,Laborers,2.0,-39.0,1.0
M,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-11822,-4246,1,0,0,0,,2.0,-36.0,2.0
F,N,Y,0,90000.0,Working,Higher education,Single / not married,House / apartment,-21532,-4630,1,0,0,0,Laborers,1.0,-57.0,0.0
M,N,Y,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15085,-4033,1,0,0,1,,3.0,-49.0,2.0
F,N,N,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10456,-1953,1,1,0,0,Medicine staff,2.0,-19.0,2.0
F,N,Y,0,225000.0,State servant,Higher education,Married,House / apartment,-19309,-2435,1,0,1,0,,2.0,-5.0,2.0
M,N,N,0,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12523,-5145,1,0,0,0,Laborers,2.0,-9.0,2.0
F,N,N,0,202500.0,Working,Higher education,Married,House / apartment,-19271,-4839,1,0,0,1,Core staff,2.0,-32.0,2.0
F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-20292,-1691,1,0,0,0,Laborers,2.0,-1.0,0.0
F,Y,Y,1,333000.0,Commercial associate,Higher education,Married,House / apartment,-11525,-1616,1,0,0,0,Managers,3.0,-40.0,2.0
F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14960,-2865,1,0,0,0,Laborers,2.0,-50.0,2.0
F,N,N,2,103500.0,Working,Incomplete higher,Married,House / apartment,-11078,-3960,1,0,0,0,Sales staff,4.0,-47.0,2.0
M,Y,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8107,-985,1,0,0,0,Drivers,1.0,-24.0,2.0
M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10116,-880,1,0,0,0,Laborers,3.0,-6.0,1.0
F,N,N,0,211500.0,Commercial associate,Higher education,Married,With parents,-14636,-4690,1,1,1,0,Laborers,2.0,-55.0,2.0
F,N,N,0,33300.0,Pensioner,Secondary / secondary special,Married,Office apartment,-19605,365243,1,0,0,0,,2.0,-41.0,2.0
F,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,-14148,-1591,1,1,1,0,High skill tech staff,3.0,-17.0,2.0
F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9613,-1085,1,0,0,0,Core staff,2.0,-22.0,2.0
M,N,Y,0,135000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-14671,-2027,1,0,0,0,Managers,1.0,-8.0,2.0
M,Y,N,1,238500.0,Working,Higher education,Married,With parents,-11384,-1965,1,1,1,0,Drivers,3.0,-27.0,0.0
M,Y,N,0,247500.0,Working,Incomplete higher,Separated,House / apartment,-10370,-1550,1,1,1,0,Managers,1.0,-9.0,2.0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12483,-4039,1,0,0,0,Managers,2.0,-46.0,2.0
M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Laborers,2.0,-1.0,1.0
F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23585,365243,1,0,0,0,,2.0,-4.0,2.0
F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23130,365243,1,0,1,0,,1.0,-40.0,2.0
F,N,Y,0,94500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23408,365243,1,0,0,0,,2.0,-38.0,2.0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14762,-2464,1,0,1,0,Managers,2.0,-59.0,2.0
F,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24387,365243,1,0,0,0,,1.0,-15.0,2.0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,-12071,-721,1,0,0,0,,3.0,-30.0,2.0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-19368,-1252,1,1,0,0,,2.0,-33.0,2.0
M,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10569,-226,1,1,1,0,Drivers,1.0,-37.0,1.0
F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-20644,-3873,1,0,0,0,Medicine staff,2.0,-41.0,2.0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-45.0,2.0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15836,-3034,1,0,0,0,,2.0,-32.0,2.0
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13727,-6031,1,0,0,0,,2.0,-7.0,2.0
F,Y,N,1,225000.0,Working,Higher education,Civil marriage,House / apartment,-13528,-980,1,1,1,0,Core staff,3.0,-24.0,2.0
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21180,-2728,1,0,0,0,,2.0,-39.0,1.0
M,N,Y,0,108000.0,Working,Secondary / secondary special,Married,House / apartment,-15997,-7341,1,1,1,0,Laborers,2.0,-24.0,2.0
M,Y,Y,0,180000.0,Working,Lower secondary,Single / not married,House / apartment,-11988,-2495,1,0,0,0,Laborers,1.0,-34.0,2.0
F,N,Y,0,157500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-12942,-3253,1,0,0,0,,2.0,-52.0,2.0
M,Y,Y,0,261000.0,Working,Secondary / secondary special,Married,House / apartment,-15708,-5250,1,0,0,0,Laborers,2.0,-23.0,2.0
F,N,N,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,-16876,-97,1,1,0,0,,2.0,-10.0,2.0
F,N,N,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,-16876,-97,1,1,0,0,,2.0,-10.0,2.0
F,Y,N,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-11664,-460,1,1,1,0,Core staff,2.0,-4.0,1.0
M,Y,Y,2,337500.0,State servant,Secondary / secondary special,Married,Office apartment,-12977,-3970,1,0,0,0,Laborers,4.0,-20.0,2.0
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15922,-2086,1,0,0,0,Sales staff,2.0,-52.0,2.0
M,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12494,-978,1,0,0,0,Laborers,1.0,-21.0,2.0
F,N,N,1,225000.0,Working,Incomplete higher,Married,With parents,-15817,-7379,1,0,0,0,Accountants,3.0,-53.0,2.0
M,Y,N,2,450000.0,Working,Secondary / secondary special,Married,House / apartment,-14970,-7183,1,0,0,1,Drivers,4.0,-18.0,2.0
F,Y,N,0,405000.0,State servant,Higher education,Single / not married,House / apartment,-20052,-980,1,0,1,0,Managers,1.0,-11.0,1.0
F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20493,-7624,1,1,1,0,Managers,2.0,-28.0,2.0
F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-13012,-1342,1,0,1,0,Sales staff,3.0,-25.0,1.0
F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23056,365243,1,0,1,0,,2.0,-11.0,2.0
M,Y,Y,0,405000.0,Working,Higher education,Married,House / apartment,-10323,-2622,1,1,1,1,Managers,2.0,-3.0,1.0
F,Y,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,-21179,365243,1,0,0,0,,2.0,-52.0,2.0
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11004,-1570,1,0,0,0,Private service staff,2.0,-35.0,1.0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23632,365243,1,0,0,0,,1.0,-18.0,2.0
M,N,N,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-14118,-3174,1,0,0,0,Laborers,1.0,-16.0,2.0
F,N,N,1,157500.0,Working,Secondary / secondary special,Widow,House / apartment,-18571,-4602,1,1,0,0,,2.0,-17.0,2.0
F,N,Y,0,81000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15580,-3503,1,0,0,0,Sales staff,2.0,-56.0,2.0
F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22774,365243,1,0,0,0,,2.0,-14.0,2.0
F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14578,-7346,1,0,0,0,Laborers,2.0,-24.0,2.0
M,Y,Y,0,135000.0,Working,Academic degree,Married,House / apartment,-22541,-195,1,0,1,0,,2.0,-39.0,2.0
F,Y,Y,0,360000.0,Commercial associate,Higher education,Married,House / apartment,-10874,-507,1,0,0,1,Core staff,2.0,-11.0,2.0
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22025,365243,1,0,0,0,,1.0,-14.0,2.0
F,N,N,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18828,-6195,1,0,0,0,,2.0,-40.0,2.0
M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-14362,-288,1,1,1,0,Laborers,2.0,-40.0,1.0
F,N,Y,2,54000.0,Working,Secondary / secondary special,Married,House / apartment,-9905,-795,1,0,0,0,Sales staff,4.0,-14.0,2.0
M,Y,N,3,112500.0,Working,Higher education,Married,House / apartment,-10890,-1934,1,0,0,0,Drivers,5.0,-55.0,2.0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22362,365243,1,0,0,0,,1.0,-17.0,2.0
F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21454,365243,1,0,0,0,,2.0,-45.0,2.0
F,N,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-9540,-959,1,0,0,1,Laborers,3.0,-27.0,2.0
M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20776,-2745,1,1,1,0,Managers,2.0,-47.0,2.0
M,Y,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11008,-108,1,1,1,0,Drivers,4.0,-39.0,2.0
M,N,N,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-14118,-3174,1,0,0,0,Laborers,1.0,-16.0,2.0
M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11706,-1164,1,1,0,1,Drivers,2.0,-16.0,2.0
F,N,Y,3,180000.0,State servant,Higher education,Married,House / apartment,-16000,-7401,1,0,0,0,Core staff,5.0,-7.0,2.0
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19242,-546,1,0,0,0,Laborers,2.0,-4.0,2.0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-14172,-3931,1,0,0,0,Laborers,1.0,-20.0,2.0
F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21973,365243,1,0,0,0,,1.0,-2.0,1.0
M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-11598,-1976,1,1,0,0,,2.0,-27.0,2.0
F,N,Y,0,225000.0,Working,Higher education,Widow,House / apartment,-20538,-5525,1,1,0,0,Sales staff,1.0,-48.0,2.0
M,Y,Y,1,189000.0,Working,Incomplete higher,Married,House / apartment,-15287,-2501,1,0,1,0,,3.0,-30.0,1.0
F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-12114,-4004,1,0,0,0,Accountants,2.0,-1.0,1.0
F,N,N,0,134419.5,Commercial associate,Higher education,Single / not married,House / apartment,-10339,-393,1,1,0,0,,1.0,-27.0,2.0
F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20608,365243,1,0,0,0,,2.0,-1.0,1.0
F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-13012,-1342,1,0,1,0,Sales staff,3.0,-1.0,0.0
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-11279,-508,1,0,0,0,Laborers,3.0,-50.0,2.0
M,Y,Y,0,184500.0,State servant,Higher education,Married,House / apartment,-13916,-169,1,0,0,0,Managers,2.0,0.0,1.0
M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9547,-1340,1,0,0,0,Drivers,3.0,-33.0,1.0
M,Y,N,0,450000.0,Working,Secondary / secondary special,Married,House / apartment,-16009,-4642,1,0,0,0,Sales staff,2.0,-10.0,2.0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-20929,-1651,1,0,0,0,Medicine staff,1.0,-24.0,1.0
F,Y,Y,0,121500.0,State servant,Secondary / secondary special,Married,House / apartment,-19988,-3231,1,1,0,0,,2.0,-35.0,2.0
F,N,Y,1,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17106,-2849,1,0,0,0,Managers,3.0,-48.0,2.0
F,Y,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-17052,-3055,1,0,0,0,Sales staff,2.0,-23.0,2.0
M,N,Y,1,90000.0,Working,Secondary / secondary special,Separated,House / apartment,-12316,-291,1,0,0,0,Laborers,2.0,-25.0,2.0
F,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12157,-1493,1,0,0,0,Core staff,1.0,-12.0,2.0
F,N,Y,0,135000.0,State servant,Incomplete higher,Single / not married,With parents,-9873,-2086,1,0,1,1,,1.0,-16.0,2.0
F,N,N,0,450000.0,Working,Higher education,Separated,House / apartment,-19046,-1002,1,0,1,0,Core staff,1.0,-56.0,1.0
M,Y,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-15565,-4004,1,1,1,0,,2.0,-35.0,2.0
F,N,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-16188,-309,1,1,1,1,Sales staff,2.0,-59.0,2.0
M,Y,Y,0,225000.0,Working,Higher education,Single / not married,With parents,-9444,-663,1,1,1,0,,1.0,-21.0,2.0
M,Y,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14301,-200,1,0,1,0,Laborers,3.0,-30.0,2.0
