일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,조식메뉴,중식메뉴,석식메뉴,중식계,석식계
2017-09-29,금,2642,214,248,22,0.0,모닝롤/치즈프레즐  우유/주스 계란후라이 홍게살죽/쌀밥 (쌀:국내산) 김치두부국  멸치크랜베리볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 미역국  쇠불고기/잡채  오징어숙회무침  미니케익/식혜  배추겉절이 (김치:국내산) ,    *        ,760.0,0.0
2017-10-25,수,2645,75,289,0,0.0,모닝롤/베이글  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 동태탕  시래기조림  포기김치 (김치:국내산) ,곤드레밥*강된장 (쌀:국내산) 가쯔오장국  갈치조림  쇠고기잡채  쑥갓두부무침  알타리김치 (김치:국내산) ,    *        ,786.0,0.0
2017-11-29,수,2644,78,261,0,0.0,모닝롤/찐빵  우유/주스 계란후라이 단호박죽/쌀밥 (쌀:국내산) 차돌박이찌개  시금치나물  포기김치 (김치:국내산) ,나물비빔밥 (쌀:국내산) 미소장국  코다리조림  과일샐러드  군고구마  깍두기 (김치:국내산) ,    *        ,903.0,0.0
2017-12-27,수,2665,169,255,0,0.0,모닝롤/씨크립샌드  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 북어콩나물국  새송이볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기미역국  오징어볶음  동그랑땡전  무쌈말이  포기김치 (김치:국내산) ,    *        ,571.0,0.0
2018-01-31,수,2655,56,223,0,0.0,모닝롤/와플  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 콩가루배추국  명엽채무침  포기김치 (김치:국내산) ,김치제육덮밥  미소장국  양장피잡채  계란찜  아삭고추무침/귤  알타리김치 (김치:국내산) ,    *        ,1138.0,0.0
2018-02-14,수,2707,418,159,0,0.0,모닝롤/고구마파이  우유/주스 계란후라이 땅콩죽/쌀밥 (쌀:국내산) 콩나물국  어묵볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 떡국  버섯불고기  오징어숙회무침  취나물  배추겉절이 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기무국  고추잡채*꽃빵  계란찜  오이무침  포기김치 (김치:국내산) ,850.0,0.0
2018-02-28,수,2707,134,278,0,0.0,모닝롤/메론롤케익  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 바지락국  시금치나물  포기김치 (김치:국내산) ,곤드레밥*강된장 (쌀:국내산) 어묵국  치킨핑거*요거트소스  도토리묵무침  콩조림  배추겉절이 (김치:국내산) ,    *        ,786.0,0.0
2018-03-28,수,2714,45,252,0,0.0,모닝롤/와플  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 조랭이떡국  시금치나물  포기김치 (김치:국내산) ,단호박카레라이스 (쌀:국내산) 유부장국  유린기  볼어묵볶음  오복지  포기김치 (김치:국내산) ,      *      ,926.0,0.0
2018-04-25,수,2714,66,285,0,0.0,모닝롤/롤케익  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 아욱된장국  감자채피망볶음  포기김치 (김치:국내산) ,비빔밥 (쌀:국내산) 유부장국  오징어튀김  떡밤초  요플레  포기김치 (김치:국내산) ,            ,851.0,0.0
2018-05-30,수,2721,80,281,0,0.0,모닝롤/꿀호떡  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 맑은만두육개장  참나물땅콩무침  포기김치 (김치:국내산) ,콩나물밥 (쌀:국내산) 유부장국  수제돈가스  파스타샐러드  무생채  포기김치 (김치:국내산) ,            ,876.0,0.0
2018-06-27,수,2728,66,277,0,0.0,모닝롤/크로와상  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 감자고추장찌개  꽈리고추찜  포기김치 (김치:국내산) ,카레덮밥 (쌀:국내산) 가쯔오장국  깐풍육  구운채소 *발사믹소스 오복지무침  포기김치 (김치:국내산) ,     *       ,957.0,0.0
2018-07-25,수,2704,226,256,1,0.0,모닝롤/찐빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 새알만두국  애호박나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기샤브국  유린기  사각어묵볶음  오이사과생채  포기김치 (김치:국내산) ,            ,760.0,0.0
2018-08-29,수,2996,103,258,0,0.0,모닝롤/브라우니  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 대구탕  검정콩조림  포기김치 (김치:국내산) ,콩나물밥 (쌀:국내산) 팽이장국  치킨핑거  메추리알조림  과일샐러드  배추겉절이 (김치:국내산) ,    *        ,915.0,0.0
2018-09-19,수,2763,77,288,0,0.0,모닝롤/오렌지빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 떡국  숙주나물  포기김치 (김치:국내산) ,카레덮밥 (쌀:국내산) 유부장국  감자프리타타  메밀전병만두  쨔샤이무침/과일  포기김치 (김치:국내산) ,            ,833.0,0.0
2018-10-31,수,2805,111,306,0,0.0,모닝롤/단팥빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 민물새우찌개  느타리볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  수제돈가스  닭살겨자채  반달호박나물  포기김치 (김치:국내산) ,    자기계발의날        ,930.0,0.0
2018-11-28,수,2815,69,298,1,0.0,모닝롤/단팥빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 재첩국  명엽채무침  포기김치 (김치:국내산) ,나물비빔밥 (쌀:국내산) 가쯔오장국  오징어튀김 (오징어:뉴질랜드) 과일샐러드  군고구마  포기김치 (김치:국내산) ,    *        ,862.0,0.0
2018-12-26,수,2846,184,241,0,0.0,모닝롤/브라우니  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 꽃게탕  김구이  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 아욱국  돈육굴소스볶음  골뱅이무침*소면  얼갈이나물  포기김치 (김치:국내산) ,    자기계발의날        ,695.0,0.0
2019-01-30,수,2985,66,226,1,0.0,모닝롤/소보루빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 콩나물국  치커리사과무침  포기김치 (김치:국내산) ,"카레덮밥 (쌀:국내산,돈육:국내산) 유부장국  새우까스*칠리소스  쫄면무침  오이무침  포기김치 (김치:국내산) ",    자기개발의날        ,679.0,0.0
2019-02-27,수,2806,100,274,0,0.0,모닝롤/사과파이  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 된장찌개  도라지나물  포기김치 (김치:국내산) ,비빔밥 (쌀:국내산) 유부장국  오징어튀김  떡밤초  음료  포기김치 (김치:국내산) ,    *  자기계발의날  *    ,944.0,0.0
2019-03-27,수,2836,92,259,0,0.0,모닝롤/베이글  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 된장찌개  애호박나물  포기김치 (김치:국내산) ,단호박영양밥 (쌀:국내산) 가쯔오장국  돈육칠리강정  모듬묵샐러드  숙주나물  배추겉절이 (김치:국내산) ,    *  자기개발의날  *    ,856.0,0.0
2019-04-24,수,2822,59,273,0,0.0,모닝롤/사과파이  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 콩나물국  미역줄기볶음  포기김치 (김치:국내산) ,카레라이스 (쌀:국내산) 미소장국  언양식불고기  떡볶이  방울토마토  포기김치 (김치:국내산) ,    *  자기계발의날  *    ,1034.0,0.0
2019-05-29,수,2825,50,237,0,0.0,모닝롤/찐빵 (샐러드닭가슴살 없이) 우유/주스 스크램블에그 호박죽/쌀밥 (쌀:국내산) 차돌박이찌개  청포묵무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 배추된장국  수제돈가스  마파두부  돈나물유자청무침  포기김치 (김치:국내산) ,    *  자기개발의날  *    ,896.0,0.0
2019-06-26,수,2758,69,282,0,0.0,모닝롤/고구마파이  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 콩가루배추국  알감자조림  포기김치 (김치:국내산) ,"카레덮밥 (쌀,돈육:국내산) 가쯔오장국  고구마치즈구이  쫄면무침  무말랭이  포기김치 (김치:국내산) ",   *  자기개발의날  *     ,946.0,0.0
2019-07-31,수,2760,495,231,0,0.0,모닝롤/단호박찐빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 열무된장국  멸치볶음  포기김치 (김치:국내산) ,곤드레밥*양념장 (쌀:국내산) 맑은국  해물누룽지탕 (오징어:원양산) 메밀전병만두  오복지/찐햇감자  포기김치 (김치:국내산) ,    자기계발의날        ,619.0,0.0
2019-08-28,수,3305,123,274,0,0.0,모닝롤/핫도그  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 열무된장국  메추리알조림  포기김치 (김치:국내산) ,"카레덮밥 (쌀,돈육:국내산) 맑은국  치킨핑거 (닭:국내산) 쫄면야채무침  오복지/과일  포기김치 (김치:국내산) ",    *        ,899.0,0.0
2019-09-25,수,3111,60,285,1,0.0,모닝롤/단팥빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 오징어국  시래기조림  포기김치 (김치:국내산) ,곤드레밥*양념장 (쌀:국내산) 맑은국  돈육강정 (돈육:국내산) 사과고구마그라탕  오복지무침  포기김치 (김치:국내산) ,    *        ,803.0,0.0
2019-10-30,수,3121,122,294,1,0.0,모닝롤/오렌지케익빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 황태국 (황태:러시아산) 문어꽈리초조림  포기김치 (김치:국내산) ,"마파두부덮밥 (쌀,돈육:국내산) 맑은국  치킨핑거 (닭:국내산) 시저샐러드  무비트생채  포기김치 (김치:국내산) ",    *        ,771.0,0.0
2019-11-27,수,3104,134,288,1,0.0,모닝롤/단팥빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 무채국 (우민찌:호주산) 문어꽈리초조림  포기김치 (김치:국내산) ,나물비빔밥 (쌀:국내산) 맑은국  감자치즈구이  군만두  치커리유자청생채  포기김치 (김치:국내산) ,    *        ,732.0,0.0
2019-12-31,화,3111,709,149,22,0.0,모닝롤/야채샌드  우유/주스 스크램블에그 고구마죽/쌀밥 (쌀:국내산) 열무된장국  두부쑥갓무침 (두부:수입산) 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 배추된장국  닭볶음탕 (닭:국내산) 부추깻잎전  양배추쌈*쌈장  포기김치 (김치:국내산) ,    *        ,349.0,0.0
2020-01-29,수,2821,101,214,4,0.0,"모닝롤/야채샌드  우유/주스 스크램블에그 고구마죽/쌀밥 (쌀:국내산) 꽃게탕  미역줄기볶음  포기김치 (배추,고춧가루:국산) ","콩나물밥*양념장 (쌀:국내산,소고기:호주) 가쯔오장국  치킨핑거 (닭:국내산) 꽃맛살샐러드  청경채생채  포기김치 (배추,고춧가루:국산) ",    자기개발의날        ,1197.0,0.0
2020-02-26,수,2872,109,190,4,0.0,"모닝롤/고구마파이  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 홍합탕  감자채볶음  포기김치 (배추,고추가루:국내산) ","낙지비빔밥 (쌀:국내,낙지:중국산) 팽이장국  치킨텐더*콘소스D (닭:국내산) 과일샐러드  마늘쫑무침  포기김치 (배추,고추가루:국내산) ",    자기개발의날        ,1105.0,0.0
2020-11-25,수,3021,206,191,3,387.0,모닝롤/베이글 우유/주스 계란후라이 녹두죽/흑미밥 아귀지리탕 돈사태찜 양상추샐러드 포기김치 ,쌀밥/흑미밥/찰현미밥 콩비지김치찌개 해물누룽지탕 탕평채 고추장감자조림 깍두기/수제과일잼샌드 양상추샐러드*요거트D , ＜자기 계발의 날＞      ,1146.0,0.0
